row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Vốn khác Triệu đồng,Vốn đầu tư xây dựng cơ bản Triệu đồng,Quỹ của TCTD Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn điều lệ Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Vốn khác Triệu đồng,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng,numeric__Quỹ của TCTD Triệu đồng,numeric__Lợi nhuận chưa phân phối Triệu đồng,numeric__Tổng cộng Triệu đồng
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,10.580.416,415,25,10,1.447.731,3.213.195,15.241.792,10580416.0,415.0,25.0,10.0,1447731.0,3213195.0,15241792.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,3.145.090,-,-,-,-,(2.645.090),500.000,3145090.0,,,,,-2645090.0,500000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(352),-,-,-,-,(352),,-352.0,,,,,-352.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,3.607.093,3.607.093,,,,,,3607093.0,3607093.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,726.661,(726.661),-,,,,,726661.0,-726661.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(60.000),(60.000),,,,,,-60000.0,-60000.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,13.725.506,63,25,10,2.174.392,3.388.537,19.288.533,13725506.0,63.0,25.0,10.0,2174392.0,3388537.0,19288533.0
