row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,205.587,356.378,182.474,744.439,205587.0,356378.0,182474.0,744439.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,8.777,8.777,,,8777.0,8777.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,2.391,2.391,,,2391.0,2391.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,205.587,356.378,193.642,755.607,205587.0,356378.0,193642.0,755607.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.553,-,152.294,162.847,10553.0,,152294.0,162847.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,6.367,-,6.876,13.243,6367.0,,6876.0,13243.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.920,-,159.170,176.090,16920.0,,159170.0,176090.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,195.034,356.378,30.180,581.592,195034.0,356378.0,30180.0,581592.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,188.667,356.378,34.472,579.517,188667.0,356378.0,34472.0,579517.0
