row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,158.913,158913.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.637,1637.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.233),-1233.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,159.317,159317.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,54.577,54577.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,26.073,26073.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.078),-1078.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,79.572,79572.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,104.336,104336.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,79.745,79745.0
