row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2024Giao dịch hoán đổi tiền tệ,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > 4.118.782,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > -,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > (6.768),numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > 4.118.782,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > -,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > (6.768)
Số thuần,Số thuần,Số thuần,,,(6.768),,,-6768.0
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023Giao dịch kỳ hạn tiền tệ,11.907,57,-,11907.0,57.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,5.752.651,39.398,-,5752651.0,39398.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,5.764.558,39.455,-,5764558.0,39455.0,
Số thuần,Số thuần,Số thuần,,39.455,,,39455.0,
