row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Quyền Tổng Giám đốc (từ ngày 30 tháng 3 năm 2024),
Ông Trần Ngọc Tâm,Ông Trần Ngọc Tâm,Ông Trần Ngọc Tâm,Tổng Giám đốc (đến ngày 29 tháng 3 năm 2024),
Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Ông Trần Khải Hoàn,Phó Tổng Giám đốc thường trực (đến ngày 29 tháng 3 năm 2024),
Ông Hoàng Việt Cường,Ông Hoàng Việt Cường,Ông Hoàng Việt Cường,Phó Tổng Giám đốc,
Ông Hà Huy Cường,Ông Hà Huy Cường,Ông Hà Huy Cường,Phó Tổng Giám đốc,
Ông Lê Anh Tú,Ông Lê Anh Tú,Ông Lê Anh Tú,Phó Tổng Giám đốc,
Ông Nguyễn Vĩnh Tuyên,Ông Nguyễn Vĩnh Tuyên,Ông Nguyễn Vĩnh Tuyên,Phó Tổng Giám đốc,
Ông Võ Hoàng Hải,Ông Võ Hoàng Hải,Ông Võ Hoàng Hải,Phó Tổng Giám đốc,
Bà Hồ Nguyễn Thủy Vy,Bà Hồ Nguyễn Thủy Vy,Bà Hồ Nguyễn Thủy Vy,Phó Tổng Giám đốc,
Ông Huỳnh Thanh Phong,Ông Huỳnh Thanh Phong,Ông Huỳnh Thanh Phong,Phó Tổng Giám đốc (từ ngày 5 tháng 12 năm 2024),
Ông Nguyễn Minh Tuấn,Ông Nguyễn Minh Tuấn,Ông Nguyễn Minh Tuấn,Phó Tổng Giám đốc (từ ngày 5 tháng 12 năm 2024),
Bà Lâm Kim Khôi,Bà Lâm Kim Khôi,Bà Lâm Kim Khôi,Phó Tổng Giám đốc (từ ngày 5 tháng 12 năm 2024),
Bà Nguyễn Thị Mỹ Lan,Bà Nguyễn Thị Mỹ Lan,Bà Nguyễn Thị Mỹ Lan,Giám đốc Khối Tài chính kiểm Kế toán Trường,
