row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúcTriệu đồng","numeric__Nhà cửa, vật kiến trúcTriệu đồng"
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,15.971,15971.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.354),-7354.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,21.822,21822.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,30.439,30439.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,15.971,15971.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,30.439,30439.0
