row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,782.115,450.687,259.211,42.020,19.981,1.554.014,782115.0,450687.0,259211.0,42020.0,19981.0,1554014.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,41.592,16.850,14.417,1.099,530,74.488,41592.0,16850.0,14417.0,1099.0,530.0,74488.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,631.265,31.639,18.798,2.708,4.456,688.866,631265.0,31639.0,18798.0,2708.0,4456.0,688866.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(100),(687),(9.180),(783),(670),(11.420),-100.0,-687.0,-9180.0,-783.0,-670.0,-11420.0
Chuyển từ tài sản cố địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,1.233,-,-,1.233,,,1233.0,,,1233.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.454.872,498.489,284.479,45.044,24.297,2.307.181,1454872.0,498489.0,284479.0,45044.0,24297.0,2307181.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,187.767,251.452,165.630,33.629,14.467,652.945,187767.0,251452.0,165630.0,33629.0,14467.0,652945.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,40.140,56.574,33.060,3.161,2.797,135.732,40140.0,56574.0,33060.0,3161.0,2797.0,135732.0
Chuyển từ tài sản cố địnhthuê tài chính,Giá trị khấu hao luỹ kế > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,1.078,-,-,1.078,,,1078.0,,,1078.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(100),(687),(9.180),(783),(670),(11.420),-100.0,-687.0,-9180.0,-783.0,-670.0,-11420.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,227.807,307.339,190.588,36.007,16.594,778.335,227807.0,307339.0,190588.0,36007.0,16594.0,778335.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,594.348,199.235,93.581,8.391,5.514,901.069,594348.0,199235.0,93581.0,8391.0,5514.0,901069.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.227.065,191.150,93.891,9.037,7.703,1.528.846,1227065.0,191150.0,93891.0,9037.0,7703.0,1528846.0
