row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu
Công ty LD cấp Taihan – Sacom,Công ty LD cấp Taihan – Sacom,Công ty LD cấp Taihan – Sacom,"Sản xuất các loại cấp nhôm, cấp viễn thông, cấp quang ...","30,00%",,0.3
Công ty CP Nhựa Sam Phú,Công ty CP Nhựa Sam Phú,Công ty CP Nhựa Sam Phú,"Sản xuất, mua bán các loại sản phẩm nhựa","25,10%",,0.251
Công ty CP Vật liệu điện và Viễn thông Sam Cường,Công ty CP Vật liệu điện và Viễn thông Sam Cường,Công ty CP Vật liệu điện và Viễn thông Sam Cường,"Sản xuất, lắp ráp các thiết bị, vật liệu điện, viễn thông.","32,54%",,0.32539999999999997
Công ty CP Bất động sản Hiệp Phú,Công ty CP Bất động sản Hiệp Phú,Công ty CP Bất động sản Hiệp Phú,Kinh doanh bất động sản,"40,00%",,0.4
