row_label_raw,row_label_full,col_0,Năm nay,Ngàn VND > Năm trước(Trình bày lại –TM số 39),numeric__Năm nay,numeric__Ngàn VND > Năm trước(Trình bày lại –TM số 39)
Thu nhập khác,Thu nhập khác,Thu nhập khác,267.202.683,176.256.524,267202683.0,176256524.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,141.905.662,162.033.597,141905662.0,162033597.0
Nợ thuế được miễn,Nợ thuế được miễn,Nợ thuế được miễn,97.162.878,-,97162878.0,
Các khoản khác,Các khoản khác,Các khoản khác,28.134.143,14.222.927,28134143.0,14222927.0
Chi phí khác,Chi phí khác,Chi phí khác,666.678.513,1.447.929.479,666678513.0,1447929479.0
Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,296.695.388,207.046.655,296695388.0,207046655.0
Tài sản không hiệu quả,Tài sản không hiệu quả,Tài sản không hiệu quả,148.035.123,762.561.783,148035123.0,762561783.0
Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,89.242.030,-,89242030.0,
Lỗ từ thanh lý tài sản dài hạn khác,Lỗ từ thanh lý tài sản dài hạn khác,Lỗ từ thanh lý tài sản dài hạn khác,20.283.562,402.427.821,20283562.0,402427821.0
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,19.122.206,25.629.519,19122206.0,25629519.0
Các khoản phát,Các khoản phát,Các khoản phát,9.350.809,11.525.716,9350809.0,11525716.0
Các khoản khác,Các khoản khác,Các khoản khác,83.949.395,38.737.985,83949395.0,38737985.0
Lỗ KHÁC,Lỗ KHÁC,Lỗ KHÁC,(399.475.830),(1.271.672.955),-399475830.0,-1271672955.0
