row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước(Trình bày lại -TM số 39),numeric__Năm nay,numeric__Ngàn VNDNăm trước(Trình bày lại -TM số 39)
Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,430.145.293,(1.980.196.233),430145293.0,-1980196233.0
Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),,,,
Lỗ từ các công ty con,Các khoản điều chỉnh tăng (giảm) > Lỗ từ các công ty con,Lỗ từ các công ty con,883.912.470,2.692.253.372,883912470.0,2692253372.0
Lợi thế thương mại phân bổ,Các khoản điều chỉnh tăng (giảm) > Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,319.598.040,150.494.855,319598040.0,150494855.0
Hoàn nhập (vốn hoá) chi phí lãi vay trên báo cáo tài chính hợp nhất,Các khoản điều chỉnh tăng (giảm) > Hoàn nhập (vốn hoá) chi phí lãi vay trên báo cáo tài chính hợp nhất,Hoàn nhập (vốn hoá) chi phí lãi vay trên báo cáo tài chính hợp nhất,395.646.231,(89.797.577),395646231.0,-89797577.0
Lợi nhuận chưa thực hiện trên hợp nhất,Các khoản điều chỉnh tăng (giảm) > Lợi nhuận chưa thực hiện trên hợp nhất,Lợi nhuận chưa thực hiện trên hợp nhất,79.350.474,45.204.947,79350474.0,45204947.0
Các chi phí không có chứng từ hợp lệ,Các khoản điều chỉnh tăng (giảm) > Các chi phí không có chứng từ hợp lệ,Các chi phí không có chứng từ hợp lệ,17.428.421,12.810.335,17428421.0,12810335.0
Tiền phạt,Các khoản điều chỉnh tăng (giảm) > Tiền phạt,Tiền phạt,16.469.211,20.886.781,16469211.0,20886781.0
Lỗ (lãi) từ các công ty liên kết,Các khoản điều chỉnh tăng (giảm) > Lỗ (lãi) từ các công ty liên kết,Lỗ (lãi) từ các công ty liên kết,16.336.454,(11.710.281),16336454.0,-11710281.0
Các khoản khác,Các khoản điều chỉnh tăng (giảm) > Các khoản khác,Các khoản khác,151.576.224,31.486.404,151576224.0,31486404.0
