row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - TM số 39)
Ngắn hạn,Ngắn hạn,Ngắn hạn,756.477.238,1.642.846.329,756477238.0,1642846329.0
Lãi cho vay các công ty,Lãi cho vay các công ty,Lãi cho vay các công ty,496.345.797,1.210.375.522,496345797.0,1210375522.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,96.402.593,51.578.038,96402593.0,51578038.0
Cho mượn các công ty,Cho mượn các công ty,Cho mượn các công ty,51.053.406,165.850.541,51053406.0,165850541.0
Các khoản ký quỹ ngắn hạn,Các khoản ký quỹ ngắn hạn,Các khoản ký quỹ ngắn hạn,42.532.151,44.289.460,42532151.0,44289460.0
Lãi cho vay nhân viên,Lãi cho vay nhân viên,Lãi cho vay nhân viên,33.998,22.194.946,33998.0,22194946.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,70.109.293,148.557.822,70109293.0,148557822.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn các bên liên quan (TM số 35.2),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 35.2),Phải thu ngắn hạn các bên liên quan (TM số 35.2),558.864.605,1.392.419.329,558864605.0,1392419329.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,197.612.633,250.427.000,197612633.0,250427000.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,935.439.558,666.260.512,935439558.0,666260512.0
Lãi cho vay các công ty,Trong đó: > Lãi cho vay các công ty,Lãi cho vay các công ty,548.843.689,114.328.180,548843689.0,114328180.0
Cho mượn các công ty,Trong đó: > Cho mượn các công ty,Cho mượn các công ty,248.004.789,397.983.108,248004789.0,397983108.0
Phải thu Hợp đồng hợp tác kinh doanh (*),Trong đó: > Phải thu Hợp đồng hợp tác kinh doanh (*),Phải thu Hợp đồng hợp tác kinh doanh (*),125.750.981,132.347.166,125750981.0,132347166.0
Các khoản ký quỹ dài hạn,Trong đó: > Các khoản ký quỹ dài hạn,Các khoản ký quỹ dài hạn,12.838.699,20.931.632,12838699.0,20931632.0
Phải thu dài hạn khác,Trong đó: > Phải thu dài hạn khác,Phải thu dài hạn khác,1.400,670.426,1400.0,670426.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn các bên liên quan (TM số 35.2),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 35.2),Phải thu dài hạn các bên liên quan (TM số 35.2),890.477.069,588.990.280,890477069.0,588990280.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,44.962.489,77.270.232,44962489.0,77270232.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.691.916.796,2.309.106.841,1691916796.0,2309106841.0
