row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước(Trình bày lại –TM số 39),numeric__Năm nay,numeric__Ngân VNDNăm trước(Trình bày lại –TM số 39)
Lãi từ thanh lý các khoản đầu tư (TM số 4),Lãi từ thanh lý các khoản đầu tư (TM số 4),Lãi từ thanh lý các khoản đầu tư (TM số 4),807.659.222,2.595.452,807659222.0,2595452.0
Trong đó:,Trong đó:,Trong đó:,,,,
Nhóm công ty Mía đường (TM số 4.1),Trong đó: > Nhóm công ty Mía đường (TM số 4.1),Nhóm công ty Mía đường (TM số 4.1),699.085.038,-,699085038.0,
Công ty Cổ phần Hoàng Anh Ban Mê(TM số 4.3),Trong đó: > Công ty Cổ phần Hoàng Anh Ban Mê(TM số 4.3),Công ty Cổ phần Hoàng Anh Ban Mê(TM số 4.3),107.418.184,-,107418184.0,
Khác,Trong đó: > Khác,Khác,1.156.000,2.595.452,1156000.0,2595452.0
Lãi tiền cho vay,Trong đó: > Lãi tiền cho vay,Lãi tiền cho vay,798.953.582,883.197.510,798953582.0,883197510.0
Lãi chênh lệch tỷ giá hối đoái,Trong đó: > Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,48.666.991,49.242.768,48666991.0,49242768.0
Lãi tiền gửi ngân hàng,Trong đó: > Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,5.437.010,14.661.623,5437010.0,14661623.0
Các khoản khác,Trong đó: > Các khoản khác,Các khoản khác,5.199.643,7.934.149,5199643.0,7934149.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.665.916.448,957.631.502,1665916448.0,957631502.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,922.709.912,135.408.632,922709912.0,135408632.0
Doanh thu với các bên liên quan,Trong đó: > Doanh thu với các bên liên quan,Doanh thu với các bên liên quan,743.206.536,822.222.870,743206536.0,822222870.0
