row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngân VND Số đầu năm (Trình bày lại – TM số 39),numeric__col_1,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm (Trình bày lại – TM số 39)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Cho vay ngắn hạn bên liên quan (TM số 35.2),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 35.2),Cho vay ngắn hạn bên liên quan (TM số 35.2),(i),3.754.961.320,1.976.619.350,,3754961320.0,1976619350.0
Cho vay ngắn hạn các bên khác,Ngắn hạn > Cho vay ngắn hạn các bên khác,Cho vay ngắn hạn các bên khác,(ii),214.816.226,41.209.025,,214816226.0,41209025.0
,,,,3.969.777.546,2.017.828.375,,3969777546.0,2017828375.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Cho vay dài hạn bên liên quan (TM số 35.2),Dài hạn > Cho vay dài hạn bên liên quan (TM số 35.2),Cho vay dài hạn bên liên quan (TM số 35.2),(i),7.512.960.946,5.187.885.336,,7512960946.0,5187885336.0
Cho vay dài hạn các bên khác (*),Dài hạn > Cho vay dài hạn các bên khác (*),Cho vay dài hạn các bên khác (*),(ii),269.428.797,359.484.809,,269428797.0,359484809.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,(iii),169.589.065,170.000.598,,169589065.0,170000598.0
,,,,7.951.978.808,5.717.370.743,,7951978808.0,5717370743.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.921.756.354,7.735.199.118,,11921756354.0,7735199118.0
