row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Chênh lệchtỷ giá hối đoái,Quỹ đầu tưphát triển,Lợi nhuânsau thuế chưaphân phối,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệchtỷ giá hối đoái,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuânsau thuế chưaphân phối,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm (Trình bày lại – TM số 39),Năm trước > Số đầu năm (Trình bày lại – TM số 39),Số đầu năm (Trình bày lại – TM số 39),7.899.679.470,3.539.078.784,(686.640),555.077.253,279.895.303,2.023.903.249,14.296.947.419,7899679470.0,3539078784.0,-686640.0,555077253.0,279895303.0,2023903249.0,14296947419.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(1.569.945.178),(1.569.945.178),,,,,,-1569945178.0,-1569945178.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,70.841.555,-,-,70.841.555,,,,70841555.0,,,70841555.0
Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,Năm trước > Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,-,-,-,-,-,498.742.120,498.742.120,,,,,,498742120.0,498742120.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.899.679.470,3.539.078.784,(686.640),625.918.808,279.895.303,952.700.191,13.296.585.916,7899679470.0,3539078784.0,-686640.0,625918808.0,279895303.0,952700191.0,13296585916.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm (Trình bày lại – TM số 39),Năm nay > Số đầu năm (Trình bày lại – TM số 39),Số đầu năm (Trình bày lại – TM số 39),7.899.679.470,3.539.078.784,(686.640),625.918.808,279.895.303,952.700.191,13.296.585.916,7899679470.0,3539078784.0,-686640.0,625918808.0,279895303.0,952700191.0,13296585916.0
Phát hành cổ phần phổ thông đếchuyển đổi trái phiếu (TM số 24.1),Năm nay > Phát hành cổ phần phổ thông đếchuyển đổi trái phiếu (TM số 24.1),Phát hành cổ phần phổ thông đếchuyển đổi trái phiếu (TM số 24.1),1.375.000.000,(275.220.000),-,-,-,-,1.099.780.000,1375000000.0,-275220000.0,,,,,1099780000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,69.588.012,69.588.012,,,,,,69588012.0,69588012.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(172.105.848),-,-,(172.105.848),,,,-172105848.0,,,-172105848.0
Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,Năm nay > Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoànvới cổ đông không kiểm soát,-,-,-,-,-,(319.479.088),(319.479.088),,,,,,-319479088.0,-319479088.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),453.812.960,279.895.303,702.809.115,13.974.368.992,9274679470.0,3263858784.0,-686640.0,453812960.0,279895303.0,702809115.0,13974368992.0
