row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - TM số 39)
Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,7.960.502.432,9.412.151.145,7960502432.0,9412151145.0
Nhà máy thủy điện (*),Nhà máy thủy điện (*),Nhà máy thủy điện (*),3.385.682.060,3.435.534.450,3385682060.0,3435534450.0
Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,3.348.265.882,3.243.680.311,3348265882.0,3243680311.0
Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,1.703.067.342,638.772.312,1703067342.0,638772312.0
Nhà xuống và nhà máy nông trường,Nhà xuống và nhà máy nông trường,Nhà xuống và nhà máy nông trường,687.226.986,694.595.616,687226986.0,694595616.0
Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,351.086.244,307.993.752,351086244.0,307993752.0
Chi phí phát triển vườn tiêu,Chi phí phát triển vườn tiêu,Chi phí phát triển vườn tiêu,114.959.517,119.602.634,114959517.0,119602634.0
Học viện bóng đá HAGL - Arsenal JMG,Học viện bóng đá HAGL - Arsenal JMG,Học viện bóng đá HAGL - Arsenal JMG,53.432.133,39.910.578,53432133.0,39910578.0
Chi phí xây dựng chuồng bò,Chi phí xây dựng chuồng bò,Chi phí xây dựng chuồng bò,6.617.792,4.726.452,6617792.0,4726452.0
Khác,Khác,Khác,139.280.504,96.771.577,139280504.0,96771577.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.750.120.892,17.993.738.827,17750120892.0,17993738827.0
