row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại – TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại – TM số 39)
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",837.389.494,1.257.917.720,837389494.0,1257917720.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hoạt động xây dựng (i),Trong đó: > Hoạt động xây dựng (i),Hoạt động xây dựng (i),610.961.724,601.329.775,610961724.0,601329775.0
Chi phí nuôi bò thịt (ii),Trong đó: > Chi phí nuôi bò thịt (ii),Chi phí nuôi bò thịt (ii),111.197.997,419.894.535,111197997.0,419894535.0
Hoạt động sản xuất,Trong đó: > Hoạt động sản xuất,Hoạt động sản xuất,111.137.954,235.904.225,111137954.0,235904225.0
Cung cấp dịch vụ,Trong đó: > Cung cấp dịch vụ,Cung cấp dịch vụ,4.091.819,789.185,4091819.0,789185.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,134.446.820,175.173.958,134446820.0,175173958.0
Căn hộ sẵn sàng để bán (iii),Trong đó: > Căn hộ sẵn sàng để bán (iii),Căn hộ sẵn sàng để bán (iii),76.898.171,134.333.625,76898171.0,134333625.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,40.553.412,9.573.753,40553412.0,9573753.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,15.814.079,135.842.633,15814079.0,135842633.0
Vật liệu xây dựng,Trong đó: > Vật liệu xây dựng,Vật liệu xây dựng,13.440.800,15.206.574,13440800.0,15206574.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",7.955.419,70.188.232,7955419.0,70188232.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.126.498.195,1.798.236.495,1126498195.0,1798236495.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(7.645.680),(185.124.943),-7645680.0,-185124943.0
GIÁ TRỊ THUẦN,Trong đó: > GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,1.118.852.515,1.613.111.552,1118852515.0,1613111552.0
