row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngân VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),Phải trả ngắn hạn khác (tiếp theo) (TM số 23),,,,
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (tiếp theo) (TM số 23) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,Cho mượn tạm,(1.883.196),(23.204.111),,,-1883196.0,-23204111.0
Công ty Cổ phần Xây dựng Huynh Độ,Phải trả ngắn hạn khác (tiếp theo) (TM số 23) > Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty liên quan,Cho mượn tạm,(22.147.125),-,,,-22147125.0,
Các bên liên quan khác,Phải trả ngắn hạn khác (tiếp theo) (TM số 23) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Các khoản khác,(1.276.815),(805.929),,,-1276815.0,-805929.0
TỔNG CỘNG,Phải trả ngắn hạn khác (tiếp theo) (TM số 23) > TỔNG CỘNG,TỔNG CỘNG,,,(2.144.930.519),(439.770.330),,,-2144930519.0,-439770330.0
Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),,,,
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 23) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Hợp tác kinh doanh,(550.000.000),(550.000.000),,,-550000000.0,-550000000.0
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả dài hạn khác (TM số 23) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Ký quỹ dài hạn,(77.566),-,,,-77566.0,
TỔNG CỘNG,Phải trả dài hạn khác (TM số 23) > TỔNG CỘNG,TỔNG CỘNG,,,(550.077.566),(550.000.000),,,-550077566.0,-550000000.0
Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),Vay ngắn hạn (TM số 24),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Vay ngắn hạn (TM số 24) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Vay,(298.000.000),-,,,-298000000.0,
Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Vay ngắn hạn (TM số 24) > Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Bên liên quan,Vay,(12.091.300),(12.091.300),,,-12091300.0,-12091300.0
Ông Dương Hoàng Bắc,Vay ngắn hạn (TM số 24) > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Vay,(7.823.000),(7.823.000),,,-7823000.0,-7823000.0
TỔNG CỘNG,Vay ngắn hạn (TM số 24) > TỔNG CỘNG,TỔNG CỘNG,,,(317.914.300),(19.914.300),,,-317914300.0,-19914300.0
Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),Vay dài hạn (TM số 24),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Vay dài hạn (TM số 24) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Vay,-,(298.000.000),,,,-298000000.0
