row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại - TM số 39),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại - TM số 39)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận (lỗ) trước thuế Điều chỉnh cho các khoản:,,430.145.293,(1.980.196.233),,,430145293.0,-1980196233.0
02,02,02,"Khấu hao tài sản cố định (""TSCĐ"") hữu hình, bắt động sản đầu tư và hao mòn TSCĐ vô hình (bao gồm phân bổ lợi thế thương mại)",,1.054.629.884,805.728.354,,,1054629884.0,805728354.0
03,03,03,Dự phòng,,28.441.450,205.065.534,,,28441450.0,205065534.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,60.022.958,27.105.005,,,60022958.0,27105005.0
05,05,05,Lãi từ hoạt động đầu tư,,(1.737.550.408),(845.866.506),,,-1737550408.0,-845866506.0
06,06,06,Chi phí lãi vay,31,1.585.315.746,1.628.401.688,,31.0,1585315746.0,1628401688.0
08,08,08,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.421.004.923,(159.762.158),,,1421004923.0,-159762158.0
09,09,09,Giảm các khoản phải thu,,515.795.384,463.382.177,,,515795384.0,463382177.0
10,10,10,(Tăng) giảm hàng tồn kho,,(211.051.664),1.354.468.414,,,-211051664.0,1354468414.0
11,11,11,Tăng các khoản phải trả,,775.769.299,1.216.069.065,,,775769299.0,1216069065.0
12,12,12,Tăng chi phí trả trước,,(767.137.982),(50.733.425),,,-767137982.0,-50733425.0
14,14,14,Tiền lãi vay đã trả,,(714.949.467),(1.446.403.400),,,-714949467.0,-1446403400.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,34.1,(4.591.515),(25.424.754),,341.0,-4591515.0,-25424754.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(316.303),(56.558),,,-316303.0,-56558.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.014.522.675,1.351.539.361,,,1014522675.0,1351539361.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và tài sản dài hạn khác",,(1.454.631.442),(3.724.881.636),,,-1454631442.0,-3724881636.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",,475.594.760,1.711.425.751,,,475594760.0,1711425751.0
23,23,23,Tiền chi cho các đơn vị khác vay,,(7.208.649.956),(3.334.952.393),,,-7208649956.0,-3334952393.0
24,24,24,Tiền thu hồi cho vay,,2.988.905.798,4.404.445.889,,,2988905798.0,4404445889.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về),,-,(4.604.707.935),,,,-4604707935.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý năm giữ),,1.517.118.217,2.018.359.523,,,1517118217.0,2018359523.0
27,27,27,"Tiền thu lãi cho vay, tiền gửi, cổ tức và lợi nhuận được chia",,1.119.834.929,354.720.632,,,1119834929.0,354720632.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(2.561.827.694),(3.175.590.169),,,-2561827694.0,-3175590169.0
