row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,NgànVND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__NgànVND Số đầu năm
Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),Phải trả người bán ngắn hạn (TM số 19),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả người bán ngắn hạn (TM số 19) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Mua hàng hóa và dịch vụ,(102.076.936),(57.589.718),,,-102076936.0,-57589718.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 19) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụ,(84.221.566),(4.172.853),,,-84221566.0,-4172853.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải trả người bán ngắn hạn (TM số 19) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Mua hàng hóa và dịch vụ,(83.166.966),(3.195.941),,,-83166966.0,-3195941.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Phải trả người bán ngắn hạn (TM số 19) > Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Mua hàng hóa và dịch vụ,(9.328.145),-,,,-9328145.0,
Các bên liên quan khác,Phải trả người bán ngắn hạn (TM số 19) > Các bên liên quan khác,Các bên liên quan khác,,Mua hàng hóa,(268.067),(65.000),,,-268067.0,-65000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 19) > TỔNG CỘNG,TỔNG CỘNG,,,(279.061.680),(65.023.512),,,-279061680.0,-65023512.0
Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),Người mua trả tiền trước ngắn hạn (TM số 20),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Người mua trả tiền trước ngắn hạn (TM số 20) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Ứng trước dịch vụ xây dựng,(194.864.544),(193.716.544),,,-194864544.0,-193716544.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Người mua trả tiền trước ngắn hạn (TM số 20) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,(128.617.878),(24.395.000),,,-128617878.0,-24395000.0
Các bên liên quan khác,Người mua trả tiền trước ngắn hạn (TM số 20) > Các bên liên quan khác,Các bên liên quan khác,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,(621.570),(23.560),,,-621570.0,-23560.0
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,,(324.103.992),(218.135.104),,,-324103992.0,-218135104.0
