row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại – TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại – TM số 39)
Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,1.145.033.158,815.165.269,1145033158.0,815165269.0
Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,857.261.771,821.662.397,857261771.0,821662397.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu Chính phủ Lào cho việc xây dựng sân bay,Trong đó: > Phải thu Chính phủ Lào cho việc xây dựng sân bay,Phải thu Chính phủ Lào cho việc xây dựng sân bay,737.569.190,727.713.177,737569190.0,727713177.0
Phải thu từ các khách hàng khác,Trong đó: > Phải thu từ các khách hàng khác,Phải thu từ các khách hàng khác,119.692.581,93.949.220,119692581.0,93949220.0
"Phải thu về thanh lý tài sân, bất động sân đầu tư và chuyển nhượng dự án","Trong đó: > Phải thu về thanh lý tài sân, bất động sân đầu tư và chuyển nhượng dự án","Phải thu về thanh lý tài sân, bất động sân đầu tư và chuyển nhượng dự án",147.652.615,116.853.085,147652615.0,116853085.0
Phải thu tiền bán căn hộ,Trong đó: > Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,16.183.862,17.792.679,16183862.0,17792679.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,2.166.131.406,1.771.473.430,2166131406.0,1771473430.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,1.524.457.388,1.305.271.554,1524457388.0,1305271554.0
Phải thu các bên liên quan (TM số 35.2),Trong đó: > Phải thu các bên liên quan (TM số 35.2),Phải thu các bên liên quan (TM số 35.2),641.674.018,466.201.876,641674018.0,466201876.0
Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi:,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi:,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi:,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi:,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi:,,
,,,Năm nay,Ngàn VND Năm trước,,
Số đầu kỳ,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi: > Số đầu kỳ,Số đầu kỳ,29.122.822,10.089.849,29122822.0,10089849.0
(Hoàn nhập) tăng dự phòng lập trong năm,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi: > (Hoàn nhập) tăng dự phòng lập trong năm,(Hoàn nhập) tăng dự phòng lập trong năm,(7.400.913),19.032.973,-7400913.0,19032973.0
Số cuối kỳ,Chi tiết tinh hình tăng giảm dự phòng phải thu ngắn hạn khó đòi: > Số cuối kỳ,Số cuối kỳ,21.721.909,29.122.822,21721909.0,29122822.0
