row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016(trình bày trước đây),Điều chỉnh vàphân loại lại,Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại),numeric__Ngày 31 tháng 12năm 2016(trình bày trước đây),numeric__Điều chỉnh vàphân loại lại,numeric__Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại)
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,
A Tài sản ngắn hạn,Bảng cân đối kế toán hợp nhất > A Tài sản ngắn hạn,A Tài sản ngắn hạn,9.394.220.363,(224.530.590),9.169.689.773,9394220363.0,-224530590.0,9169689773.0
I. Tiền,Bảng cân đối kế toán hợp nhất > I. Tiền,I. Tiền,791.208.293,3.117.882,794.326.175,791208293.0,3117882.0,794326175.0
II. Các khoản phải thu ngắn hạn,Bảng cân đối kế toán hợp nhất > II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,6.768.206.227,(56.852.541),6.711.353.686,6768206227.0,-56852541.0,6711353686.0
Phải thu ngắn hạn củakhách hàng,Bảng cân đối kế toán hợp nhất > Phải thu ngắn hạn củakhách hàng,Phải thu ngắn hạn củakhách hàng,1.772.653.862,(1.180.432),1.771.473.430,1772653862.0,-1180432.0,1771473430.0
Trả trước cho người bánngắn hạn,Bảng cân đối kế toán hợp nhất > Trả trước cho người bánngắn hạn,Trả trước cho người bánngắn hạn,1.316.838.516,(8.510.142),1.308.328.374,1316838516.0,-8510142.0,1308328374.0
Phải thu về cho vay ngắn hạn,Bảng cân đối kế toán hợp nhất > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,2.034.357.256,(16.528.881),2.017.828.375,2034357256.0,-16528881.0,2017828375.0
Phải thu ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.672.681.113,(29.834.784),1.642.846.329,1672681113.0,-29834784.0,1642846329.0
Dự phòng phải thu ngắn hạnkhó đòi,Bảng cân đối kế toán hợp nhất > Dự phòng phải thu ngắn hạnkhó đòi,Dự phòng phải thu ngắn hạnkhó đòi,(28.324.520),(798.302),(29.122.822),-28324520.0,-798302.0,-29122822.0
III. Hàng tồn kho,Bảng cân đối kế toán hợp nhất > III. Hàng tồn kho,III. Hàng tồn kho,1.789.466.577,(176.355.025),1.613.111.552,1789466577.0,-176355025.0,1613111552.0
Hàng tồn kho,Bảng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,1.822.154.682,(23.918.187),1.798.236.495,1822154682.0,-23918187.0,1798236495.0
Dự phòng giảm giá hàng tồn kho,Bảng cân đối kế toán hợp nhất > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(32.688.105),(152.436.838),(185.124.943),-32688105.0,-152436838.0,-185124943.0
IV. Tài sản ngắn hạn khác,Bảng cân đối kế toán hợp nhất > IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,45.339.266,5.559.094,50.898.360,45339266.0,5559094.0,50898360.0
Chi phí trả trước ngắn hạn,Bảng cân đối kế toán hợp nhất > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,7.961.305,5.041.183,13.002.488,7961305.0,5041183.0,13002488.0
Thuế giá trị gia tăng được khấu trừ,Bảng cân đối kế toán hợp nhất > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,26.318.790,517.911,26.836.701,26318790.0,517911.0,26836701.0
