row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại – TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại – TM số 39)
Ngắn hạn,Ngắn hạn,Ngắn hạn,3.755.607.293,1.234.592.114,3755607293.0,1234592114.0
Phải trả tiền mượn các công ty,Phải trả tiền mượn các công ty,Phải trả tiền mượn các công ty,472.979.606,631.779.529,472979606.0,631779529.0
Nhận vốn góp từ các cổ đông thiểu số (*),Nhận vốn góp từ các cổ đông thiểu số (*),Nhận vốn góp từ các cổ đông thiểu số (*),1.197.000.000,-,1197000000.0,
- Công ty Cổ phần Hưng Thắng Lợi Gia Lai,- Công ty Cổ phần Hưng Thắng Lợi Gia Lai,- Công ty Cổ phần Hưng Thắng Lợi Gia Lai,500.000.000,-,500000000.0,
- Ông Nguyễn Thanh Quang,- Ông Nguyễn Thanh Quang,- Ông Nguyễn Thanh Quang,232.335.000,-,232335000.0,
- Ông Nguyễn Mạnh Hùng,- Ông Nguyễn Mạnh Hùng,- Ông Nguyễn Mạnh Hùng,232.330.000,-,232330000.0,
- Bà Vũ Thị Thủy Hương,- Bà Vũ Thị Thủy Hương,- Bà Vũ Thị Thủy Hương,232.335.000,-,232335000.0,
Phải trả Hợp đồng hợp tác kinh doanh (i),Phải trả Hợp đồng hợp tác kinh doanh (i),Phải trả Hợp đồng hợp tác kinh doanh (i),1.282.500.000,-,1282500000.0,
Phải trả lãi vay,Phải trả lãi vay,Phải trả lãi vay,397.103.920,231.986.313,397103920.0,231986313.0
Phải trả tiền thuê đất,Phải trả tiền thuê đất,Phải trả tiền thuê đất,133.957.484,29.593.804,133957484.0,29593804.0
Phải trả các cá nhân khác,Phải trả các cá nhân khác,Phải trả các cá nhân khác,109.720.058,134.750.145,109720058.0,134750145.0
Phí bảo trì căn hộ,Phí bảo trì căn hộ,Phí bảo trì căn hộ,24.585.898,24.952.942,24585898.0,24952942.0
Các khoản khác,Các khoản khác,Các khoản khác,137.760.327,181.529.381,137760327.0,181529381.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,1.610.676.774,794.821.784,1610676774.0,794821784.0
Phải trả ngắn hạn các bên liên quan (TM số 35.2),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 35.2),Phải trả ngắn hạn các bên liên quan (TM số 35.2),2.144.930.519,439.770.330,2144930519.0,439770330.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,1.269.645.155,1.011.940.829,1269645155.0,1011940829.0
Phải trả Hợp đồng hợp tác kinh doanh (ii),Trong đó: > Phải trả Hợp đồng hợp tác kinh doanh (ii),Phải trả Hợp đồng hợp tác kinh doanh (ii),550.000.000,550.000.000,550000000.0,550000000.0
Phải trả lãi vay,Trong đó: > Phải trả lãi vay,Phải trả lãi vay,332.106.423,32.688.527,332106423.0,32688527.0
Nhận ký quỹ dài hạn (iii),Trong đó: > Nhận ký quỹ dài hạn (iii),Nhận ký quỹ dài hạn (iii),235.056.332,225.056.393,235056332.0,225056393.0
Tiền thuê đất phải trả,Trong đó: > Tiền thuê đất phải trả,Tiền thuê đất phải trả,135.669.657,202.945.354,135669657.0,202945354.0
Các khoản khác,Trong đó: > Các khoản khác,Các khoản khác,16.812.743,1.250.555,16812743.0,1250555.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,719.567.589,461.940.829,719567589.0,461940829.0
Phải trả dài hạn các bên liên quan (TM số 35.2),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 35.2),Phải trả dài hạn các bên liên quan (TM số 35.2),550.077.566,550.000.000,550077566.0,550000000.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,5.025.252.448,2.246.532.943,5025252448.0,2246532943.0
