row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước(Trình bày lại –TM số 39),numeric__Năm nay,numeric__Ngàn VNDNăm trước(Trình bày lại –TM số 39)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,101.156.821,128.214.766,101156821.0,128214766.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,27.962.791,20.749.208,27962791.0,20749208.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,3.456.575,1.573.818,3456575.0,1573818.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,11.346.935,19.168.436,11346935.0,19168436.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,143.923.122,169.706.228,143923122.0,169706228.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,319.598.039,150.494.855,319598039.0,150494855.0
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,182.156.078,167.675.229,182156078.0,167675229.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,76.519.841,68.271.282,76519841.0,68271282.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,35.605.584,40.337.776,35605584.0,40337776.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,8.620.401,-,8620401.0,
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,85.048.386,84.491.518,85048386.0,84491518.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,707.548.329,511.270.660,707548329.0,511270660.0
