row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Lãi cho vay Phải thu BCC,260.327.064 125.750.980,60.368.691 109.650.981,,,,
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Lãi cho vay,161.975.432,20.987.500,,,161975432.0,20987500.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,31.061.435,-,,,31061435.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Lãi cho vay,20.488.121,-,,,20488121.0,
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty liên quan,Lãi cho vay,12.905.556,-,,,12905556.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Lãi cho vay,12.522.211,-,,,12522211.0,
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Lãi cho vay,9.543.750,-,,,9543750.0,
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty liên quan,Cho mượn,4.099.189,-,,,4099189.0,
Công ty TNHH An Tiến,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Cho mượn,1.246.857,-,,,1246857.0,
TỔNG CỘNG,Công ty Cổ phần Chăn nuôi Gia Lai > TỔNG CỘNG,TỔNG CỘNG,,,639.920.595,191.007.172,,,639920595.0,191007172.0
