row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại - TM số 39),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại - TM số 39)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,29.1,4.841.225.074,6.712.718.981,,291.0,4841225074.0,6712718981.0
02,02,02,2. Các khoản giảm trừ doanh thu,29.1,-,(1.249.713),,291.0,,-1249713.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,29.1,4.841.225.074,6.711.469.268,,291.0,4841225074.0,6711469268.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,30,(3.109.682.997),(5.973.754.974),,30.0,-3109682997.0,-5973754974.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.731.542.077,737.714.294,,,1731542077.0,737714294.0
21,21,21,6. Doanh thu hoạt động tài chính,29.2,1.665.916.448,957.631.502,,292.0,1665916448.0,957631502.0
22,22,22,7. Chi phí tài chính,31,(1.697.932.438),(1.734.602.467),,31.0,-1697932438.0,-1734602467.0
23,23,23,- Trong đó: Chi phí lãi vay,,(1.585.315.746),(1.628.401.688),,,-1585315746.0,-1628401688.0
24,24,24,8. Phần (lỗ) lãi trong công ty liên kết,,(18.433.513),11.710.281,,,-18433513.0,11710281.0
25,25,25,9. Chi phí bán hàng,32,(143.923.122),(169.706.228),,32.0,-143923122.0,-169706228.0
26,26,26,10. Chi phí quản lý doanh nghiệp,32,(707.548.329),(511.270.660),,32.0,-707548329.0,-511270660.0
30,30,30,11. Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh,,829.621.123,(708.523.278),,,829621123.0,-708523278.0
31,31,31,12. Thu nhập khác,33,267.202.683,176.256.524,,33.0,267202683.0,176256524.0
32,32,32,13. Chi phí khác,33,(666.678.513),(1.447.929.479),,33.0,-666678513.0,-1447929479.0
40,40,40,14. Lỗ khác,33,(399.475.830),(1.271.672.955),,33.0,-399475830.0,-1271672955.0
50,50,50,15. Lợi nhuận (lỗ) kế toán trước thuế,,430.145.293,(1.980.196.233),,,430145293.0,-1980196233.0
51,51,51,16. Chi phí thuế TNDN hiện hành,34.1,(24.802.221),(10.311.463),,341.0,-24802221.0,-10311463.0
52,52,52,17. Chi phí thuế TNDN hoãn lại,34.4,(33.735.757),(192.158.364),,344.0,-33735757.0,-192158364.0
60,60,60,18. Lợi nhuận (lỗ) sau thuế TNDN,,371.607.315,(2.182.666.060),,,371607315.0,-2182666060.0
61,61,61,19. Lợi nhuận (lỗ) sau thuế của công ty mẹ,,69.588.012,(1.569.945.178),,,69588012.0,-1569945178.0
62,62,62,20. Lợi nhuận (lỗ) sau thuế của cổ đông không kiểm soát,,302.019.303,(612.720.882),,,302019303.0,-612720882.0
70,70,70,21. Lãi (lỗ) cơ bản trên cổ phiếu (VND),28,80,(1.988),,28.0,80.0,-1988.0
71,71,71,22. Lãi (lỗ) suy giảm trên cổ phiếu (VND),28,80,(1.988),,28.0,80.0,-1988.0
