row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Văn phòng cho thuê,Trung tâm thương mại,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Văn phòng cho thuê,numeric__Trung tâm thương mại,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm(Trình bày lại – TM số 39),Nguyên giá > Số đầu năm(Trình bày lại – TM số 39),Số đầu năm(Trình bày lại – TM số 39),22.072.022,19.597.252,2.264.238.799,1.138.843.022,3.444.751.095,22072022.0,19597252.0,2264238799.0,1138843022.0,3444751095.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,5.000.000,-,(5.528.184),(2.709.909),(3.238.093),5000000.0,,-5528184.0,-2709909.0,-3238093.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(2.038.848),(35.885.446),(5.536.517),(43.460.811),,-2038848.0,-35885446.0,-5536517.0,-43460811.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,27.072.022,17.558.404,2.222.825.169,1.130.596.596,3.398.052.191,27072022.0,17558404.0,2222825169.0,1130596596.0,3398052191.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm(Trình bày lại – TM số 39),Giá trị hao mòn lũy kế > Số đầu năm(Trình bày lại – TM số 39),Số đầu năm(Trình bày lại – TM số 39),(739.395),(3.033.441),(29.672.485),(22.516.125),(55.961.446),-739395.0,-3033441.0,-29672485.0,-22516125.0,-55961446.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(739.393),(629.653),(84.865.648),(50.778.717),(137.013.411),-739393.0,-629653.0,-84865648.0,-50778717.0,-137013411.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,73.233,53.101,126.334,,,73233.0,53101.0,126334.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,596.495,2.825.272,1.438.814,4.860.581,,596495.0,2825272.0,1438814.0,4860581.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(1.478.788),(3.066.599),(111.639.628),(71.802.927),(187.987.942),-1478788.0,-3066599.0,-111639628.0,-71802927.0,-187987942.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm(Trình bày lại – TM số 39),Giá trị còn lại > Số đầu năm(Trình bày lại – TM số 39),Số đầu năm(Trình bày lại – TM số 39),21.332.627,16.563.811,2.234.566.314,1.116.326.897,3.388.789.649,21332627.0,16563811.0,2234566314.0,1116326897.0,3388789649.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,25.593.234,14.491.805,2.111.185.541,1.058.793.669,3.210.064.249,25593234.0,14491805.0,2111185541.0,1058793669.0,3210064249.0
Trong đó:Tài sân sử dụng để cảm cố /the chấpcác khoản vay (TM số 24),Giá trị còn lại > Trong đó:Tài sân sử dụng để cảm cố /the chấpcác khoản vay (TM số 24),Trong đó:Tài sân sử dụng để cảm cố /the chấpcác khoản vay (TM số 24),25.593.234,14.491.805,2.111.185.541,1.058.793.669,3.210.064.249,25593234.0,14491805.0,2111185541.0,1058793669.0,3210064249.0
