row_label_raw,row_label_full,Lỗ kế toán trước thuế,(1.406.287.691),(573.908.542),(1.980.196.233),numeric__(1.406.287.691),numeric__(573.908.542),numeric__(1.980.196.233)
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,774.966.464,30.761.890,805.728.354,774966464.0,30761890.0,805728354.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,45.528.933,159.536.601,205.065.534,45528933.0,159536601.0,205065534.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các tài khoản tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các tài khoản tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các tài khoản tiền tệ có gốc ngoại tệ,33.309.004,(6.203.999),27.105.005,33309004.0,-6203999.0,27105005.0
Lỗ từ hoạt động đầu tư,Lỗ từ hoạt động đầu tư,Lỗ từ hoạt động đầu tư,(767.018.139),(78.848.367),(845.866.506),-767018139.0,-78848367.0,-845866506.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,1.579.381.993,49.019.695,1.628.401.688,1579381993.0,49019695.0,1628401688.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,259.880.564,(419.642.722),(159.762.158),259880564.0,-419642722.0,-159762158.0
Giảm các khoản phải thu,Giảm các khoản phải thu,Giảm các khoản phải thu,1.119.197.170,(655.814.993),463.382.177,1119197170.0,-655814993.0,463382177.0
Tăng hàng tồn kho,Tăng hàng tồn kho,Tăng hàng tồn kho,1.293.921.678,60.546.736,1.354.468.414,1293921678.0,60546736.0,1354468414.0
Tăng các khoản phải trả,Tăng các khoản phải trả,Tăng các khoản phải trả,1.067.210.872,148.858.193,1.216.069.065,1067210872.0,148858193.0,1216069065.0
Tăng chi phí trả trước,Tăng chi phí trả trước,Tăng chi phí trả trước,(120.577.118),69.843.693,(50.733.425),-120577118.0,69843693.0,-50733425.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,(1.417.691.509),(28.711.891),(1.446.403.400),-1417691509.0,-28711891.0,-1446403400.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,2.176.460.345,(824.920.984),1.351.539.361,2176460345.0,-824920984.0,1351539361.0
