row_label_raw,row_label_full,Tổ chức thu xếp phát hành > ACBS,Trái chủ > Ngân hàng Thương mại Cổ phần Bản Việt > Ngân hàng Thương Mai Cổ phần Bắc Á (*) > Công ty Cổ phần Việt Golden Farm (*),Số tiền Ngân VND > 240.000.000 > 216.649.915 > 300.000.000,"Lãi suất > Bằng trung bình của lãi suất tiền gửi tiết kiệm doanh nghiệp kỳ hạn 13 tháng bằng Đồng Việt Nam cộng với biên độ 3,5%/năm (2017: 10 – 10,9%/năm) > Bằng trung bình của lãi suất tiền gửi tiết kiệm cá nhân kỳ hạn 13 tháng bằng Đồng Việt Nam cộng với biên độ 6,5%/năm (2017:13,8%/năm) > Lãi suất tiền gửi kỳ hạn 13 tháng của NHTMCP Tiên Phong cộng với biên độ 4,5% (2017: 10%/năm)",Ngày đáo hạn > Từ ngày 30 tháng 6 năm 2018 đến ngày 30 tháng 12 năm 2020 > 27 tháng 4 năm 2017 > 18 tháng 6 năm 2023,"Mục đích > Bổ sung vốn cho các dự án đầu tư của Tập đoàn bao gồm dự án trồng mới và chăm sóc 10.000 ha cao su (Tỉnh Ratanakiri, Campuchia); dự án thủy điện Nậm Kông 2 (Tỉnh Attapeu, Lào) và tái cấu trúc nợ vay của Tập đoàn > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn","Tài sản đảm bảo > 12.960.000 cổ phiếu HAG của Chủ tịch HĐQT; 13.405.675 cổ phiếu HNG do Công ty nấm giữ; 45.230.000 cổ phiếu của CNGL sở hữu bởi Công ty Cổ phần Đầu tư Bất động sản An Phú > 37.021.000 cổ phiếu HAG của Chủ tịch HĐQT; 5.500.000 cổ phiếu HNG do Công ty nấm giữ; Quyền sử dụng 308,4 ha đất trồng cây ăn trái và các tài sản trên đất thuộc sở hữu của CNGL > 196.368.900 cổ phần HAN thuộc quyền sở hữu của Công ty; Tài sản hình thành từ công trình xây dựng Khu phức Horp Hoàng Anh Myanmar của Công ty TNHH Hoàng Anh Gia Lai Myanmar",numeric__Trái chủ > Ngân hàng Thương mại Cổ phần Bản Việt > Ngân hàng Thương Mai Cổ phần Bắc Á (*) > Công ty Cổ phần Việt Golden Farm (*),numeric__Số tiền Ngân VND > 240.000.000 > 216.649.915 > 300.000.000,"numeric__Lãi suất > Bằng trung bình của lãi suất tiền gửi tiết kiệm doanh nghiệp kỳ hạn 13 tháng bằng Đồng Việt Nam cộng với biên độ 3,5%/năm (2017: 10 – 10,9%/năm) > Bằng trung bình của lãi suất tiền gửi tiết kiệm cá nhân kỳ hạn 13 tháng bằng Đồng Việt Nam cộng với biên độ 6,5%/năm (2017:13,8%/năm) > Lãi suất tiền gửi kỳ hạn 13 tháng của NHTMCP Tiên Phong cộng với biên độ 4,5% (2017: 10%/năm)",numeric__Ngày đáo hạn > Từ ngày 30 tháng 6 năm 2018 đến ngày 30 tháng 12 năm 2020 > 27 tháng 4 năm 2017 > 18 tháng 6 năm 2023,"numeric__Mục đích > Bổ sung vốn cho các dự án đầu tư của Tập đoàn bao gồm dự án trồng mới và chăm sóc 10.000 ha cao su (Tỉnh Ratanakiri, Campuchia); dự án thủy điện Nậm Kông 2 (Tỉnh Attapeu, Lào) và tái cấu trúc nợ vay của Tập đoàn > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn","numeric__Tài sản đảm bảo > 12.960.000 cổ phiếu HAG của Chủ tịch HĐQT; 13.405.675 cổ phiếu HNG do Công ty nấm giữ; 45.230.000 cổ phiếu của CNGL sở hữu bởi Công ty Cổ phần Đầu tư Bất động sản An Phú > 37.021.000 cổ phiếu HAG của Chủ tịch HĐQT; 5.500.000 cổ phiếu HNG do Công ty nấm giữ; Quyền sử dụng 308,4 ha đất trồng cây ăn trái và các tài sản trên đất thuộc sở hữu của CNGL > 196.368.900 cổ phần HAN thuộc quyền sở hữu của Công ty; Tài sản hình thành từ công trình xây dựng Khu phức Horp Hoàng Anh Myanmar của Công ty TNHH Hoàng Anh Gia Lai Myanmar"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,756.649.915,,,,,,756649915.0,,,,
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,276.649.915,,,,,,276649915.0,,,,
