row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị,numeric__Ngàn VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.196.140.816,3196140816.0
Giảm trong năm do thanh lý một phần sở hữu vào công ty con,Nguyên giá > Giảm trong năm do thanh lý một phần sở hữu vào công ty con,Giảm trong năm do thanh lý một phần sở hữu vào công ty con,(182.672.265),-182672265.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.013.468.551,3013468551.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(155.232.216),-155232216.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(319.598.039),-319598039.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(474.830.255),-474830255.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.040.908.600,3040908600.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.538.638.296,2538638296.0
