row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu (%),numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu (%)
Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),,,,
(12),Lĩnh vực nông nghiệp (tiếp theo) > (12),(12),"Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Tỉnh Attapeu, Lào",Đang hoạt động,"65,85",,,,65.85
(13),Lĩnh vực nông nghiệp (tiếp theo) > (13),(13),Công ty TNHH MTV Hoàng Anh An Đông Meas,"Ratanakiri, Campuchia",Đang hoạt động,"64,38",,,,64.38
(14),Lĩnh vực nông nghiệp (tiếp theo) > (14),(14),Công ty TNHH Hoàng Anh Oyadav,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,,65.85
(15),Lĩnh vực nông nghiệp (tiếp theo) > (15),(15),Công ty TNHH Heng Brothers,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,,65.85
(16),Lĩnh vực nông nghiệp (tiếp theo) > (16),(16),Công ty TNHH CRD,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,,65.85
(17),Lĩnh vực nông nghiệp (tiếp theo) > (17),(17),Công ty TNHH Hoàng Anh Rattanakiri,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,,65.85
(18),Lĩnh vực nông nghiệp (tiếp theo) > (18),(18),Công ty Cổ phần Bò sữa Tây Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"65,20",,,,65.2
(19),Lĩnh vực nông nghiệp (tiếp theo) > (19),(19),Công ty Cổ phần An Đông Mia (i),"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"45,77",,,,45.77
(20),Lĩnh vực nông nghiệp (tiếp theo) > (20),(20),Công ty TNHH MTV Hoàng Anh Lumphat (i),"Ratanakiri, Campuchia",Trước hoạt động,"45,77",,,,45.77
(21),Lĩnh vực nông nghiệp (tiếp theo) > (21),(21),Công ty Cổ phần Đông Pênh,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"65,66",,,,65.66
(22),Lĩnh vực nông nghiệp (tiếp theo) > (22),(22),Công ty TNHH Daun Penh Agrico,"Ratanakiri, Campuchia",Đang hoạt động,"65,66",,,,65.66
(23),Lĩnh vực nông nghiệp (tiếp theo) > (23),(23),Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,"TP.HCM, Việt Nam",Đang hoạt động,"65,85",,,,65.85
(24),Lĩnh vực nông nghiệp (tiếp theo) > (24),(24),Công ty TNHH Đầu tư Cao su Đông Âu,"TP.HCM, Việt Nam",Đang hoạt động,"65,85",,,,65.85
(25),Lĩnh vực nông nghiệp (tiếp theo) > (25),(25),Công ty TNHH Cao su Eastern (Cambodia),"Kratie, Campuchia",Trước hoạt động,"65,85",,,,65.85
(26),Lĩnh vực nông nghiệp (tiếp theo) > (26),(26),Công ty TNHH Bình Phước Kratie 2,"Kratie, Campuchia",Trước hoạt động,"65,85",,,,65.85
(27),Lĩnh vực nông nghiệp (tiếp theo) > (27),(27),Công ty TNHH Sovann Vuthy,"Kratie, Campuchia",Trước hoạt động,"65,85",,,,65.85
(28),Lĩnh vực nông nghiệp (tiếp theo) > (28),(28),Công ty Cổ phần Cao su Trung Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"65,80",,,,65.8
