row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận chuyển,Thiết bivăn phòng,Vật nuôi và câytrống lâu năm,Tài sản khác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bivăn phòng,numeric__Vật nuôi và câytrống lâu năm,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm (Trình bày lại – TM số 39),Nguyên giá > Số đầu năm (Trình bày lại – TM số 39),Số đầu năm (Trình bày lại – TM số 39),3.427.810.021,1.656.757.830,2.123.690.971,11.265.263,2.607.178.670,56.738.035,9.883.440.790,3427810021.0,1656757830.0,2123690971.0,11265263.0,2607178670.0,56738035.0,9883440790.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,119.095.613,12.074.696,250.388.417,-,2.207.796.264,1.676.844,2.591.031.834,119095613.0,12074696.0,250388417.0,,2207796264.0,1676844.0,2591031834.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,45.747.489,68.410.490,46.458.068,73.779,150.477.009,297.000,311.463.835,45747489.0,68410490.0,46458068.0,73779.0,150477009.0,297000.0,311463835.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(9.338.879),(9.286.344),(12.641.606),3.287,5.424.795,(16.850),(25.855.597),-9338879.0,-9286344.0,-12641606.0,3287.0,5424795.0,-16850.0,-25855597.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(48.331.406),(2.619.112),(5.801.510),(126.082),(466.367.877),(386.600),(523.632.587),-48331406.0,-2619112.0,-5801510.0,-126082.0,-466367877.0,-386600.0,-523632587.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(859.197.752),(1.159.457.813),(194.728.489),(205.802),-,(5.581.418),(2.219.171.274),-859197752.0,-1159457813.0,-194728489.0,-205802.0,,-5581418.0,-2219171274.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.675.785.086,565.879.747,2.207.365.851,11.010.445,4.504.508.861,52.727.011,10.017.277.001,2675785086.0,565879747.0,2207365851.0,11010445.0,4504508861.0,52727011.0,10017277001.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,,
Số đầu năm (Trình bày lại – TM số 39),Giá trị khấu hao lũy kế > Số đầu năm (Trình bày lại – TM số 39),Số đầu năm (Trình bày lại – TM số 39),(376.934.263),(472.641.171),(315.295.280),(6.840.776),(248.407.022),(22.096.024),(1.442.214.536),-376934263.0,-472641171.0,-315295280.0,-6840776.0,-248407022.0,-22096024.0,-1442214536.0
