row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Lãi suất%/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất%/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,12% - 15%,626.466.204,726.516.211,,,626466204.0,726516211.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,"9,75% - 12%",185.994.550,660.000.000,,,185994550.0,660000000.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,12%,123.299.907,-,,0.12,123299907.0,
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,"11,29% - 15,73%",93.000.000,14.500.000,,,93000000.0,14500000.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,10%,61.628.333,-,,0.1,61628333.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,,-,189.000.000,,,,189000000.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,,-,115.917.134,,,,115917134.0
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty liên quan,,-,54.140.387,,,,54140387.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.090.388.994,1.760.073.732,,,1090388994.0,1760073732.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Số đầu năm,,,,
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
Nhóm An Phú (*),Phải thu ngắn hạn khác (TM số 9) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),497.088.437,1.247.505.988,,,497088437.0,1247505988.0
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 9) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Lãi cho vay,33.288.967,3.894.640,,,33288967.0,3894640.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Cho mượn,19.016.297,132.565.744,,,19016297.0,132565744.0
Công ty TNHH Phát triển Nông nghiệp MTV Thăng Long,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH Phát triển Nông nghiệp MTV Thăng Long,Công ty TNHH Phát triển Nông nghiệp MTV Thăng Long,Công ty liên quan,Chi phí trả hộ,7.005.910,-,,,7005910.0,
Ông Phan Thanh Thủ,Phải thu ngắn hạn khác (TM số 9) > Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Thành viên HĐQT,Tạm ứng,1.853.367,1.600.000,,,1853367.0,1600000.0
Bà Nguyễn Thị Nga,Phải thu ngắn hạn khác (TM số 9) > Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Bên liên quan,Lãi cho vay,-,2.329.167,,,,2329167.0
Bà Nguyễn Thị Kim Loan,Phải thu ngắn hạn khác (TM số 9) > Bà Nguyễn Thị Kim Loan,Bà Nguyễn Thị Kim Loan,Bên liên quan,Lãi cho vay,-,2.329.167,,,,2329167.0
Bà Trương Thị Trúc Thiên Trang,Phải thu ngắn hạn khác (TM số 9) > Bà Trương Thị Trúc Thiên Trang,Bà Trương Thị Trúc Thiên Trang,Bên liên quan,Lãi cho vay,-,1.501.070,,,,1501070.0
Các bên liên quan khác,Phải thu ngắn hạn khác (TM số 9) > Các bên liên quan khác,Các bên liên quan khác,Công ty liên quan,Lãi cho vay và cho mượn,611.627,693.553,,,611627.0,693553.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 9) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,558.864.605,1.392.419.329,,,558864605.0,1392419329.0
