row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016(trình bày trước đây),Điều chỉnh vàphân loại lại,Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại),numeric__Ngày 31 tháng 12năm 2016(trình bày trước đây),numeric__Điều chỉnh vàphân loại lại,numeric__Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại)
Bảng cân đối kế toán hợp nhất (tiếp theo),Bảng cân đối kế toán hợp nhất (tiếp theo),Bảng cân đối kế toán hợp nhất (tiếp theo),Bảng cân đối kế toán hợp nhất (tiếp theo),Bảng cân đối kế toán hợp nhất (tiếp theo),Bảng cân đối kế toán hợp nhất (tiếp theo),,,
B Tài sản dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > B Tài sản dài hạn,B Tài sản dài hạn,43.369.249.238,(413.226.981),42.956.022.257,43369249238.0,-413226981.0,42956022257.0
I. Các khoản phải thu dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,6.350.659.266,32.971.989,6.383.631.255,6350659266.0,32971989.0,6383631255.0
Phải thu dài hạn khác,Bảng cân đối kế toán hợp nhất (tiếp theo) > Phải thu dài hạn khác,Phải thu dài hạn khác,633.288.523,32.971.989,666.260.512,633288523.0,32971989.0,666260512.0
II. Tài sản cố định,Bảng cân đối kế toán hợp nhất (tiếp theo) > II. Tài sản cố định,II. Tài sản cố định,10.017.094.697,(259.438.936),9.757.655.761,10017094697.0,-259438936.0,9757655761.0
Tài sản cố định hữu hình,Bảng cân đối kế toán hợp nhất (tiếp theo) > Tài sản cố định hữu hình,Tài sản cố định hữu hình,8.664.993.197,(223.766.943),8.441.226.254,8664993197.0,-223766943.0,8441226254.0
- Nguyên giá,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Nguyên giá,- Nguyên giá,10.076.814.951,(193.374.161),9.883.440.790,10076814951.0,-193374161.0,9883440790.0
- Giá trị hao mòn luý kế,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Giá trị hao mòn luý kế,- Giá trị hao mòn luý kế,(1.411.821.754),(30.392.782),(1.442.214.536),-1411821754.0,-30392782.0,-1442214536.0
Tài sản cố định vô hình,Bảng cân đối kế toán hợp nhất (tiếp theo) > Tài sản cố định vô hình,Tài sản cố định vô hình,1.352.101.500,(35.671.993),1.316.429.507,1352101500.0,-35671993.0,1316429507.0
- Nguyên giá,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Nguyên giá,- Nguyên giá,1.429.539.847,(36.581.445),1.392.958.402,1429539847.0,-36581445.0,1392958402.0
- Giá trị hao mòn luý kế,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Giá trị hao mòn luý kế,- Giá trị hao mòn luý kế,(77.438.347),909.452,(76.528.895),-77438347.0,909452.0,-76528895.0
III. Bất động sản đầu tư,Bảng cân đối kế toán hợp nhất (tiếp theo) > III. Bất động sản đầu tư,III. Bất động sản đầu tư,3.510.539.222,(121.749.573),3.388.789.649,3510539222.0,-121749573.0,3388789649.0
- Nguyên giá,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Nguyên giá,- Nguyên giá,3.567.861.308,(123.110.213),3.444.751.095,3567861308.0,-123110213.0,3444751095.0
- Giá trị hao mòn luý kế,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Giá trị hao mòn luý kế,- Giá trị hao mòn luý kế,(57.322.086),1.360.640,(55.961.446),-57322086.0,1360640.0,-55961446.0
IV. Tài sản dở dang dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,17.983.864.412,9.874.415,17.993.738.827,17983864412.0,9874415.0,17993738827.0
Chi phí xây dựng cơ bản dở dang,Bảng cân đối kế toán hợp nhất (tiếp theo) > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,17.983.864.412,9.874.415,17.993.738.827,17983864412.0,9874415.0,17993738827.0
VI. Tài sản dài hạn khác,Bảng cân đối kế toán hợp nhất (tiếp theo) > VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,4.629.203.708,(74.884.876),4.554.318.832,4629203708.0,-74884876.0,4554318832.0
Chi phí trả trước dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.497.175.881,(74.884.876),1.422.291.005,1497175881.0,-74884876.0,1422291005.0
Tổng tài sản,Bảng cân đối kế toán hợp nhất (tiếp theo) > Tổng tài sản,Tổng tài sản,52.763.469.601,(637.757.571),52.125.712.030,52763469601.0,-637757571.0,52125712030.0
A Nợ phải trả,Bảng cân đối kế toán hợp nhất (tiếp theo) > A Nợ phải trả,A Nợ phải trả,36.113.695.179,66.342.362,36.180.037.541,36113695179.0,66342362.0,36180037541.0
I. Nợ ngắn hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > I. Nợ ngắn hạn,I. Nợ ngắn hạn,12.676.074.032,462.707.762,13.138.781.794,12676074032.0,462707762.0,13138781794.0
Phải trả người bán ngắn hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,1.319.409.776,101.260.184,1.420.669.960,1319409776.0,101260184.0,1420669960.0
Người mua trả tiền trước ngắn hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,3.546.000.509,(205.192.861),3.340.807.648,3546000509.0,-205192861.0,3340807648.0
Thuế và các khoản phải nộpNhà nước,Bảng cân đối kế toán hợp nhất (tiếp theo) > Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,195.748.396,(96.973),195.651.423,195748396.0,-96973.0,195651423.0
Phải trả người lao động,Bảng cân đối kế toán hợp nhất (tiếp theo) > Phải trả người lao động,Phải trả người lao động,74.235.298,(1.640.193),72.595.105,74235298.0,-1640193.0,72595105.0
Chi phí phải trả ngắn hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,846.456.575,299.727.003,1.146.183.578,846456575.0,299727003.0,1146183578.0
Phải trả ngắn hạn khác,Bảng cân đối kế toán hợp nhất (tiếp theo) > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,1.485.617.649,(251.025.535),1.234.592.114,1485617649.0,-251025535.0,1234592114.0
Vay và nợ thuê tài chính ngắn hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,5.197.619.996,519.676.137,5.717.296.133,5197619996.0,519676137.0,5717296133.0
II. Nợ dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > II. Nợ dài hạn,II. Nợ dài hạn,23.437.621.147,(396.365.400),23.041.255.747,23437621147.0,-396365400.0,23041255747.0
