row_label_raw,row_label_full,Số đầu năm (Trình bày lại – TM số 39) > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con Lợi nhuận (lỗ) trong năm phân bổ cho cổ đông không kiểm soát,Số cuối năm > 2.649.088.573 > 860.045.810 > 302.019.303,Ngàn VND Số đầu năm (Trình bày lại – TM số 39) > 1.758.600.771 > 403.038.577 > (612.720.882),numeric__Số cuối năm > 2.649.088.573 > 860.045.810 > 302.019.303,numeric__Ngàn VND Số đầu năm (Trình bày lại – TM số 39) > 1.758.600.771 > 403.038.577 > (612.720.882)
Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,2.450.000,1.806.690.209,2450000.0,1806690209.0
Mua công ty con,Mua công ty con,Mua công ty con,-,(700.673.539),,-700673539.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,(5.021.563),,-5021563.0
Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,-,(825.000),,-825000.0
Số cuối năm,Số cuối năm,Số cuối năm,3.813.603.686,2.649.088.573,3813603686.0,2649088573.0
