row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - TM số 39)
Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,338.141.701,181.146.502,338141701.0,181146502.0
Chi phí hoạt động trả trước của dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí hoạt động trả trước của dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí hoạt động trả trước của dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,326.864.840,352.650.382,326864840.0,352650382.0
Chi phí khai hoang,Chi phí khai hoang,Chi phí khai hoang,119.745.845,109.762.962,119745845.0,109762962.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,77.325.774,73.795.185,77325774.0,73795185.0
Chi phí đào tạo học viện bóng đá HAGL - JMG,Chi phí đào tạo học viện bóng đá HAGL - JMG,Chi phí đào tạo học viện bóng đá HAGL - JMG,36.580.897,57.955.720,36580897.0,57955720.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,24.595.489,25.358.651,24595489.0,25358651.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",17.902.929,26.054.782,17902929.0,26054782.0
Chi phí phát triển vườn mía,Chi phí phát triển vườn mía,Chi phí phát triển vườn mía,-,551.664.813,,551664813.0
Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,35.147.018,43.902.008,35147018.0,43902008.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,976.304.493,1.422.291.005,976304493.0,1422291005.0
