row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,"Tài sản thế chấp (TM số 10, 11, 12, 13 và 14)",numeric__Số cuối năm,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất,"numeric__Tài sản thế chấp (TM số 10, 11, 12, 13 và 14)"
Tên ngân hàng,Tên ngân hàng,Tên ngân hàng,Ngân VND,,,,,,,
"BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai",,,,
Khoản vay 1,"BIDV, Chi nhánh Gia Lai > Khoản vay 1",Khoản vay 1,47.253.218,Từ ngày 23 tháng 22018 đến 29 tháng 9 năm 2018,Thả nổi dao động từ 9% - 11%/năm,Tín chấp,47253218.0,,,
Khoản vay 2,"BIDV, Chi nhánh Gia Lai > Khoản vay 2",Khoản vay 2,124.692.722,Từ ngày 2 tháng 1 năm2018 đến ngày 16 tháng4 năm 2018,"USD: 7,7 – 7,9%/nămVND: 9,3% - 11,6%/năm","2 tầng thuộc khu thương mại nằm trên thừa đất số 478, tờ bản đồ số 9 tại Tổ hợp chung cư – Thương mai Bầu Thạc Gián, Đường Hàm Nghi, Phường Thạc Gián, Quản Thanh Khê, Thành phố Đà Nẵng, Việt Nam thuộc sở hữu của HAG; 7 xe ô tô thuộc sở hữu HAG; 3.310.000 cổ phiếu HNG thuộc sở hữu của HAG; Quyền sử dụng và khai thác 1.194,74 ha cao su tại Xã Pờ Tố thuộc sở hữu của Công ty Cổ phần Cao su Trung Nguyên",124692722.0,,,
,,,171.945.940,,,,171945940.0,,,
Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,,,,
Hội sở Hà Nội,Ngân hàng Tiên Phong > Hội sở Hà Nội,Hội sở Hà Nội,299.597.754,Từ ngày 25 tháng 1 năm2018 đến ngày 29 tháng9 năm 2018,"Bằng tổng lãi suất tiết kiệm3 tháng TPBank cộng vớibiên độ 3,2%/năm (2017:10%/năm)","Quyền sử dụng đất 180,4 ha và tài sản gắn liền trên đất tại Gia Lai của Công ty Cổ phần Chăn Nuôi Gia Lai; quyền sử dụng đất925 ha của Công ty TNHH Cao Su Eastern và tài sản gắn liền trên đất tại tỉnh Kratie, Campuchia",299597754.0,,,
Chi nhánh Hồ Chí Minh,Ngân hàng Tiên Phong > Chi nhánh Hồ Chí Minh,Chi nhánh Hồ Chí Minh,22.000.000,Vào ngày 12 tháng 12năm 2018,"10,5%/năm","2000 con bò thịt thuộc sở hữu của Công ty Cổ phần Bò Sửa Tây Nguyên, theo HĐKT số 1611/2017/CNGL-BSTN ngày 16 tháng11 năm 2017 và Phụ lục hợp đồng số 2311/2017/PLHĐ ngày 23tháng 11 năm 2017",22000000.0,,,
,,,321.597.754,,,,321597754.0,,,
