row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Lãi cho vay Chi phí trả hộ,159.626.905-,143.698.819 2.440.389,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Lãi cho vay Cho mượn Chi phí trả hộ,156.386.695 28.124.334 31.807.278,35.315.529 3.759.760 20.976.758,,,,
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Lãi cho vay,44.353.801,925.412.956,,,44353801.0,925412956.0
Công ty TNHH An Tiến,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Lãi cho vay,21.806.304,18.058.649,,,21806304.0,18058649.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,Lãi cho vay,21.557.241,13.122.719,,,21557241.0,13122719.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Lãi cho vay,18.228.000,11.110.667,,,18228000.0,11110667.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty liên quan,Chi phí trả hộ,12.624.059,12.624.059,,,12624059.0,12624059.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Chi phí trả hộ Lãi cho vay,2.556.565-,2.530.531 14.452.574,,,,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Lãi cho vay,17.255,2.728.820,,,17255.0,2728820.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai > Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Lãi cho vay,-,23.465.186,,,,23465186.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Lãi cho vay Chi phí trả hộ,-,10.406.208 7.402.364,,,,
TỔNG CỘNG,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn > TỔNG CỘNG,TỔNG CỘNG,,,497.088.437,1.247.505.988,,,497088437.0,1247505988.0
