row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại - TM số 39),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại - TM số 39)
,,,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,27,2.450.000,2.792.000.000,,27.0,2450000.0,2792000000.0
32,32,32,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu đã phát hành",,-,(313.000.000),,,,-313000000.0
33,33,33,Tiền thu từ đi vay,,4.119.461.254,5.534.265.439,,,4119461254.0,5534265439.0
34,34,34,Tiền trả nợ gốc vay,,(3.055.353.071),(6.433.696.706),,,-3055353071.0,-6433696706.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,1.066.558.183,1.579.568.733,,,1066558183.0,1579568733.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(480.746.836),(244.482.075),,,-480746836.0,-244482075.0
60,60,60,Tiền đầu năm,,794.326.175,967.966.695,,,794326175.0,967966695.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đối ngoại tệ,,(172.105.848),70.841.555,,,-172105848.0,70841555.0
70,70,70,Tiền cuối năm,5,141.473.491,794.326.175,,5.0,141473491.0,794326175.0
