row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,"9,75% - 12%",3.491.345.993,1.229.890.624,,,3491345993.0,1229890624.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,12% - 15%,1.834.926.927,1.490.961.271,,,1834926927.0,1490961271.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,,710.000.000,771.628.333,,,710000000.0,771628333.0
Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,Công ty liên quan,"6,5% - 10,5%",381.703.227,381.703.227,,,381703227.0,381703227.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,12%,358.488.312,45.615.335,,0.12,358488312.0,45615335.0
Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty liên quan,13%,196.731.113,14.651.980,,0.13,196731113.0,14651980.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,10%,136.261.796,141.231.796,,0.1,136261796.0,141231796.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,,105.110.065,105.110.065,,,105110065.0,105110065.0
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty liên quan,10%,75.481.435,-,,0.1,75481435.0,
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,,75.000.000,212.033.194,,,75000000.0,212033194.0
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty liên quan,10%,50.000.000,-,,0.1,50000000.0,
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,,20.666.125,93.000.000,,,20666125.0,93000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,7.435.714.993,4.485.825.825,,,7435714993.0,4485825825.0
