row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.232.724.397,2.515.150.041,64.613.336,791.097.759,107.883.735,6.711.469.268,3232724397.0,2515150041.0,64613336.0,791097759.0,107883735.0,6711469268.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,1.615.131.773,941.132.740,363.692.108,457.265.687,-,3.377.222.308,1615131773.0,941132740.0,363692108.0,457265687.0,,3377222308.0
Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,15.862.889.549,16.487.184.492,8.246.170.760,6.376.451.163,49.986.162,47.022.682.126,15862889549.0,16487184492.0,8246170760.0,6376451163.0,49986162.0,47022682126.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,,794.326.175,,,,,,794326175.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,865.766.030,,,,,,865766030.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,,3.442.937.699,,,,,,3442937699.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,52.125.712.030,,,,,,52125712030.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.095.062.446,1.331.396.451,185.986.793,1.108.579.730,120.199.654,4.841.225.074,2095062446.0,1331396451.0,185986793.0,1108579730.0,120199654.0,4841225074.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,236.117.052,711.056.002,320.878.133,30.068.437,7.019,1.298.126.643,236117052.0,711056002.0,320878133.0,30068437.0,7019.0,1298126643.0
Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,16.833.346.285,15.622.303.647,9.765.409.189,6.301.084.842,55.124.130,48.577.268.093,16833346285.0,15622303647.0,9765409189.0,6301084842.0,55124130.0,48577268093.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,,141.473.491,,,,,,141473491.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,847.332.517,,,,,,847332517.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,,3.496.053.555,,,,,,3496053555.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,53.062.127.656,,,,,,53062127656.0
