row_label_raw,row_label_full,col_0,Năm nay,Ngân VND > Năm trước(Trình bày lại –TM số 39),numeric__Năm nay,numeric__Ngân VND > Năm trước(Trình bày lại –TM số 39)
Giá vốn bán trái cây,Giá vốn bán trái cây,Giá vốn bán trái cây,761.235.134,-,761235134.0,
Giá vốn bán bò,Giá vốn bán bò,Giá vốn bán bò,722.539.952,3.147.173.899,722539952.0,3147173899.0
"Giá vốn dịch vụ khác (bệnh viện, khách sạn,quãng cáo, v.v.)","Giá vốn dịch vụ khác (bệnh viện, khách sạn,quãng cáo, v.v.)","Giá vốn dịch vụ khác (bệnh viện, khách sạn,quãng cáo, v.v.)",445.133.983,310.246.492,445133983.0,310246492.0
Giá vốn dịch vụ cho thuê,Giá vốn dịch vụ cho thuê,Giá vốn dịch vụ cho thuê,382.688.288,151.360.667,382688288.0,151360667.0
Giá vốn mũ cao su,Giá vốn mũ cao su,Giá vốn mũ cao su,352.603.169,142.773.735,352603169.0,142773735.0
Giá vốn hàng hóa,Giá vốn hàng hóa,Giá vốn hàng hóa,207.694.554,522.334.412,207694554.0,522334412.0
Giá vốn của các sản phẩm ngành đường,Giá vốn của các sản phẩm ngành đường,Giá vốn của các sản phẩm ngành đường,121.119.862,685.420.213,121119862.0,685420213.0
Giá vốn căn hộ,Giá vốn căn hộ,Giá vốn căn hộ,58.761.526,184.114.451,58761526.0,184114451.0
Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,57.906.529,185.600.840,57906529.0,185600840.0
Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,-,578.073.073,,578073073.0
Giá vốn bán bắp,Giá vốn bán bắp,Giá vốn bán bắp,-,66.657.192,,66657192.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.109.682.997,5.973.754.974,3109682997.0,5973754974.0
