row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016(trình bày trước đây),Điều chỉnh vàphân loại lại,Ngày 31 tháng 12năm 2016(trình bày lại),numeric__Ngày 31 tháng 12năm 2016(trình bày trước đây),numeric__Điều chỉnh vàphân loại lại,numeric__Ngày 31 tháng 12năm 2016(trình bày lại)
Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo),,,
Giá vốn hàng bán và cung cấp dịch vụ,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(5.430.638.742),(543.116.232),(5.973.754.974),-5430638742.0,-543116232.0,-5973754974.0
Lợi nhuận gộp về hang bán và cung cấp dịch vụ,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Lợi nhuận gộp về hang bán và cung cấp dịch vụ,Lợi nhuận gộp về hang bán và cung cấp dịch vụ,1.009.140.526,(271.426.232),737.714.294,1009140526.0,-271426232.0,737714294.0
Doanh thu hoạt động tài chính,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,947.916.097,9.715.405,957.631.502,947916097.0,9715405.0,957631502.0
Chi phí hoạt động tài chính,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,(1.674.519.826),(60.082.641),(1.734.602.467),-1674519826.0,-60082641.0,-1734602467.0
- Trong đó: Chi phí lãi vay,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > - Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,(1.579.381.993),(49.019.695),(1.628.401.688),-1579381993.0,-49019695.0,-1628401688.0
Chi phí bán hàng,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Chi phí bán hàng,Chi phí bán hàng,(169.154.415),(551.813),(169.706.228),-169154415.0,-551813.0,-169706228.0
Chi phí quản lý doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(501.564.190),(9.706.470),(511.270.660),-501564190.0,-9706470.0,-511270660.0
Lỗ thuần từ hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Lỗ thuần từ hoạt động kinh doanh,Lỗ thuần từ hoạt động kinh doanh,(376.471.527),(332.051.751),(708.523.278),-376471527.0,-332051751.0,-708523278.0
Thu nhập khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Thu nhập khác,Thu nhập khác,176.199.117,57.407,176.256.524,176199117.0,57407.0,176256524.0
Chi phí khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Chi phí khác,Chi phí khác,(1.206.015.281),(241.914.198),(1.447.929.479),-1206015281.0,-241914198.0,-1447929479.0
Lỗ khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Lỗ khác,Lỗ khác,(1.029.816.164),(241.856.791),(1.271.672.955),-1029816164.0,-241856791.0,-1271672955.0
Tổng lỗ kế toán trước thuê,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Tổng lỗ kế toán trước thuê,Tổng lỗ kế toán trước thuê,(1.406.287.691),(573.908.542),(1.980.196.233),-1406287691.0,-573908542.0,-1980196233.0
Thuế thu nhập doanh nghiệp hoãn lại,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,(86.187.524),(105.970.840),(192.158.364),-86187524.0,-105970840.0,-192158364.0
Lỗ sau thuế TNDN,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Lỗ sau thuế TNDN,Lỗ sau thuế TNDN,(1.502.786.678),(679.879.382),(2.182.666.060),-1502786678.0,-679879382.0,-2182666060.0
- Cổ đông thiểu số,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > - Cổ đông thiểu số,- Cổ đông thiểu số,(366.136.192),(246.584.690),(612.720.882),-366136192.0,-246584690.0,-612720882.0
- Cổ đông công ty mẹ,Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > - Cổ đông công ty mẹ,- Cổ đông công ty mẹ,(1.136.650.486),(433.294.692),(1.569.945.178),-1136650486.0,-433294692.0,-1569945178.0
Lỗ cơ bản và lỗ suy giảm trên cổ phiếu - Lỗ cơ bản (VND),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > Lỗ cơ bản và lỗ suy giảm trên cổ phiếu - Lỗ cơ bản (VND),Lỗ cơ bản và lỗ suy giảm trên cổ phiếu - Lỗ cơ bản (VND),(1.439),(549),(1.988),-1439.0,-549.0,-1988.0
- Lỗ suy giảm (VND),Báo cáo kết quả hoạt động kinh doanh hợp nhất (tiếp theo) > - Lỗ suy giảm (VND),- Lỗ suy giảm (VND),(1.439),(549),(1.988),-1439.0,-549.0,-1988.0
