row_label_raw,row_label_full,"Tên ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV"")",Số cuối năm > 2.950.770.245,Ngân VND Số đầu năm (Trình bày lại – TM số 39) > 3.774.468.711,numeric__Số cuối năm > 2.950.770.245,numeric__Ngân VND Số đầu năm (Trình bày lại – TM số 39) > 3.774.468.711
"Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")",2.924.753.645,994.082.605,2924753645.0,994082605.0
"Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào – Việt"")","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào – Việt"")","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào – Việt"")",1.420.718.793,1.391.677.221,1420718793.0,1391677221.0
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")",1.401.510.119,1.341.912.616,1401510119.0,1341912616.0
"Ngân Hàng TMCP Tiên Phong (""TPBank"")","Ngân Hàng TMCP Tiên Phong (""TPBank"")","Ngân Hàng TMCP Tiên Phong (""TPBank"")",1.190.141.346,2.962.524.517,1190141346.0,2962524517.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.887.894.148,10.464.665.670,9887894148.0,10464665670.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,9.308.802.300,9.795.943.139,9308802300.0,9795943139.0
Vay dài hạn ngân hàng đến hạn trả,Trong đó: > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,579.091.848,668.722.531,579091848.0,668722531.0
