row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước(Trình bày lại –TM số 39),numeric__Năm nay,numeric__Ngàn VNDNăm trước(Trình bày lại –TM số 39)
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,4.841.225.074,6.712.718.981,4841225074.0,6712718981.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,1.612.028.646,-,1612028646.0,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,759.269.479,3.470.788.385,759269479.0,3470788385.0
Doanh thu từ dịch vụ cho thuê,Trong đó: > Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,723.516.613,460.341.756,723516613.0,460341756.0
"Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Trong đó: > Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)",606.673.377,328.665.956,606673377.0,328665956.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,464.954.062,692.076.240,464954062.0,692076240.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,454.358.577,114.025.799,454358577.0,114025799.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,80.764.241,469.225.145,80764241.0,469225145.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,80.381.541,87.964.779,80381541.0,87964779.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,59.278.538,206.880.422,59278538.0,206880422.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,-,746.985.749,,746985749.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,-,135.764.750,,135764750.0
Khoản giảm trừ doanh thu,Trong đó: > Khoản giảm trừ doanh thu,Khoản giảm trừ doanh thu,-,(1.249.713),,-1249713.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,-,(1.249.713),,-1249713.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,4.841.225.074,6.711.469.268,4841225074.0,6711469268.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,1.612.028.646,-,1612028646.0,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,759.269.479,3.470.788.385,759269479.0,3470788385.0
Doanh thu từ dịch vụ cho thuê,Trong đó: > Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,723.516.613,460.341.756,723516613.0,460341756.0
"Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Trong đó: > Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)",606.673.377,328.665.956,606673377.0,328665956.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,464.954.062,690.826.527,464954062.0,690826527.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,454.358.577,114.025.799,454358577.0,114025799.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,80.764.241,469.225.145,80764241.0,469225145.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,80.381.541,87.964.779,80381541.0,87964779.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,59.278.538,206.880.422,59278538.0,206880422.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,-,746.985.749,,746985749.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,-,135.764.750,,135764750.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên khác,Trong đó: > Doanh thu thuần với các bên khác,Doanh thu thuần với các bên khác,4.542.622.306,6.324.095.340,4542622306.0,6324095340.0
Doanh thu thuần với các bên liên quan,Trong đó: > Doanh thu thuần với các bên liên quan,Doanh thu thuần với các bên liên quan,298.602.768,387.373.928,298602768.0,387373928.0
