row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Giao dịch,Số cuối năm,Ngân VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Bán hàng hóa Cung cấp dịch vụ xây dựng,439.883.209,339.172.635,,,439883209.0,339172635.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Bán hàng hóa Cung cấp dịch vụ xây dựng,18.084.773,-,,,18084773.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Bán tài sản cố định,-,383.279,,,,383279.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Cung cấp dịch vụ xây dựng,27.595.944,236.310,,,27595944.0,236310.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Bán hàng hóa,3.517.833,-,,,3517833.0,
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Cung cấp dịch vụ xây dựng,,,,,,
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn > Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,,5.774.737,49.843,,,5774737.0,49843.0
Các bên liên quan khác,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn > Các bên liên quan khác,Các bên liên quan khác,,Bán hàng hóa và cung cấp dịch vụ,1.792.743,5.081.827,,,1792743.0,5081827.0
TỔNG CỘNG,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn > TỔNG CỘNG,TỔNG CỘNG,,,496.649.239,344.923.894,,,496649239.0,344923894.0
