row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016(trình bày trước đây),Điều chỉnh vàphân loại lại,Ngày 31 tháng 12năm 2016(trình bày lại),numeric__Ngày 31 tháng 12năm 2016(trình bày trước đây),numeric__Điều chỉnh vàphân loại lại,numeric__Ngày 31 tháng 12năm 2016(trình bày lại)
Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),Báo cáo lưu chuyển tiền tệ hợp nhất (tiếp theo),,,
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,
"Tiền chỉ để mua sắm, xây dựngtài sản cố định","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chỉ để mua sắm, xây dựngtài sản cố định","Tiền chỉ để mua sắm, xây dựngtài sản cố định",(3.895.058.904),170.177.268,(3.724.881.636),-3895058904.0,170177268.0,-3724881636.0
"Tiền thu từ thanh lý, nhượngbán tài sản cố định","II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu từ thanh lý, nhượngbán tài sản cố định","Tiền thu từ thanh lý, nhượngbán tài sản cố định",1.711.964.916,(539.165),1.711.425.751,1711964916.0,-539165.0,1711425751.0
Tiền chỉ cho các đơn vị khác vay,II. Lưu chuyển tiền từ hoạt động đầu tư > Tiền chỉ cho các đơn vị khác vay,Tiền chỉ cho các đơn vị khác vay,(3.351.481.274),16.528.881,(3.334.952.393),-3351481274.0,16528881.0,-3334952393.0
Lưu chuyển tiền thuần sử dụngvào hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần sử dụngvào hoạt động đầu tư,Lưu chuyển tiền thuần sử dụngvào hoạt động đầu tư,(3.361.757.153),186.166.984,(3.175.590.169),-3361757153.0,186166984.0,-3175590169.0
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,
Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,4.868.173.006,666.092.433,5.534.265.439,4868173006.0,666092433.0,5534265439.0
Lưu chuyển tiền thuần từ hoạtđộng tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạtđộng tài chính,Lưu chuyển tiền thuần từ hoạtđộng tài chính,913.476.300,666.092.433,1.579.568.733,913476300.0,666092433.0,1579568733.0
Lưu chuyển tiền thuần trong năm,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,(271.820.508),27.338.433,(244.482.075),-271820508.0,27338433.0,-244482075.0
Ảnh hưởng của thay đổi tỉ giáquy đổi ngoại tệ,III. Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỉ giáquy đổi ngoại tệ,Ảnh hưởng của thay đổi tỉ giáquy đổi ngoại tệ,95.062.106,(24.220.551),70.841.555,95062106.0,-24220551.0,70841555.0
Tiền cuối năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền cuối năm,Tiền cuối năm,791.208.293,3.117.882,794.326.175,791208293.0,3117882.0,794326175.0
