row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại – TM số 39),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại – TM số 39)
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,1.404.781.766,730.609.649,1404781766.0,730609649.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,43.414.660,54.980.000,43414660.0,54980000.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,770.261.297,364.816.470,770261297.0,364816470.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.218.457.723,1.150.406.119,2218457723.0,1150406119.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,1.231.386.531,1.146.183.578,1231386531.0,1146183578.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,987.071.192,4.222.541,987071192.0,4222541.0
