row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị/Số cókhả năng trả nợ,Số đầu năm > Giá trị/Số cókhả năng trả nợ,numeric__Số cuối năm > Giá trị/Số cókhả năng trả nợ,numeric__Số đầu năm > Giá trị/Số cókhả năng trả nợ
,,,VND,VND,,
Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,8.386.495.689,8.386.495.689,8386495689.0,8386495689.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,1.226.054.798,-,1226054798.0,
Công ty TNHH Tập đoàn Thang máy Thiết bị Thăng Long,Công ty TNHH Tập đoàn Thang máy Thiết bị Thăng Long,Công ty TNHH Tập đoàn Thang máy Thiết bị Thăng Long,-,9.250.900.000,,9250900000.0
Công ty TNHH Noble (Việt Nam),Công ty TNHH Noble (Việt Nam),Công ty TNHH Noble (Việt Nam),-,6.672.096.000,,6672096000.0
Khác,Khác,Khác,2.845.477.350,5.275.137.553,2845477350.0,5275137553.0
,,,12.458.027.837,29.584.629.242,12458027837.0,29584629242.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 31),Trong đó: > Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 31),Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 31),1.226.054.798,336.620.685,1226054798.0,336620685.0
