row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,247.723.742.806,267.314.886.787,,300.0,,247723742806.0,267314886787.0
I.,I.,I.,Nợ ngắn hạn,310,,222.587.668.648,263.507.960.464,,310.0,,222587668648.0,263507960464.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,12.458.027.837,29.584.629.242,,311.0,15.0,12458027837.0,29584629242.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,16,4.576.419.988,8.304.611.341,,312.0,16.0,4576419988.0,8304611341.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,6.130.154.034,14.936.516.925,,313.0,17.0,6130154034.0,14936516925.0
4.,4.,4.,Phải trả người lao động,314,,12.372.239.322,10.535.026.598,,314.0,,12372239322.0,10535026598.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,16.794.204.108,29.587.067.304,,315.0,18.0,16794204108.0,29587067304.0
6.,6.,6.,Phải trả ngắn hạn khác,319,19,170.139.755.778,170.560.109.054,,319.0,19.0,170139755778.0,170560109054.0
7.,7.,7.,Dự phòng phải trả ngắn hạn,321,,116.867.581,-,,321.0,,116867581.0,
II.,II.,II.,Nợ dài hạn,330,,25.136.074.158,3.806.926.323,,330.0,,25136074158.0,3806926323.0
1.,1.,1.,Chi phí phải trả dài hạn,333,18,25.001.659.258,3.475.591.776,,333.0,18.0,25001659258.0,3475591776.0
2.,2.,2.,Dự phòng phải trả dài hạn,342,,134.414.900,331.334.547,,342.0,,134414900.0,331334547.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.930.578.897.737,4.440.678.052.024,,400.0,,4930578897737.0,4440678052024.0
I.,I.,I.,Vốn chủ sở hữu,410,20,4.930.578.897.737,4.440.678.052.024,,410.0,20.0,4930578897737.0,4440678052024.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.750.000.000.000,3.750.000.000.000,,411.0,,3750000000000.0,3750000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,(320.509.091),(320.509.091),,412.0,,-320509091.0,-320509091.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,1.180.899.406.828,690.998.561.115,,421.0,,1180899406828.0,690998561115.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,690.998.561.115,660.319.483.280,,,,690998561115.0,660319483280.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,489.900.845.713,30.679.077.835,,,,489900845713.0,30679077835.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,5.178.302.640.543,4.707.992.938.811,,440.0,,5178302640543.0,4707992938811.0
