row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Tiền (Thuyết minh số 04),Tiền (Thuyết minh số 04),Tiền (Thuyết minh số 04),,10.739.536.725,869.832.795,,10739536725.0,869832795.0
Ngân hàng Thương mại Cổ phần Kiến Long,Ngân hàng Thương mại Cổ phần Kiến Long,Ngân hàng Thương mại Cổ phần Kiến Long,Tiền,10.739.536.725,869.832.795,,10739536725.0,869832795.0
Phải thu ngắn hạn của khách hàng (Thuyết minh số 05),Phải thu ngắn hạn của khách hàng (Thuyết minh số 05),Phải thu ngắn hạn của khách hàng (Thuyết minh số 05),,19.143.810.000,-,,19143810000.0,
Công ty Cổ phần Đầu tư Xây dựng Long Biến,Công ty Cổ phần Đầu tư Xây dựng Long Biến,Công ty Cổ phần Đầu tư Xây dựng Long Biến,Phải thu phí dịch vụ quản lý dự án,16.101.800.000,-,,16101800000.0,
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Phải thu phí dịch vụ quản lý dự án,3.042.010.000,-,,3042010000.0,
Phải thu ngắn hạn khác (Thuyết minh số 07),Phải thu ngắn hạn khác (Thuyết minh số 07),Phải thu ngắn hạn khác (Thuyết minh số 07),,-,6.163.895.666,,,6163895666.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải thu từ thu hộ và chi hộ,-,6.163.895.666,,,6163895666.0
Phải trả người bán ngắn hạn (Thuyết minh số 15),Phải trả người bán ngắn hạn (Thuyết minh số 15),Phải trả người bán ngắn hạn (Thuyết minh số 15),,1.226.054.798,336.620.685,,1226054798.0,336620685.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Phải trả chi phí thi công hoàn thiện nội thất,1.226.054.798,-,,1226054798.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,-,210.729.552,,,210729552.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả chi phí vận hành dự án,-,125.891.133,,,125891133.0
Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),,134.918.377,271.908.800,,134918377.0,271908800.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Trích trước chi phí in lịch,67.632.151,-,,67632151.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Trích trước phí dịch vụ vận hành,67.286.226,-,,67286226.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,"Trích trước chi phí voucher, quả tặng",-,271.908.800,,,271908800.0
