row_label_raw,row_label_full,Ông Jun Sungbae > Bà Nguyễn Thị Thanh Ngọc > Bà Đỗ Thị Định,Tổng Giám đốc (bổ nhiệm ngày 18 tháng 3 năm 2025) > Tổng Giám đốc (bổ nhiệm từ ngày 25 tháng 02 năm 2025 đến ngày 18 tháng 3 năm 2025) > Phó Tổng Giám đốc (miễn nhiệm ngày 25 tháng 02 năm 2025) > Tổng Giám đốc (miễn nhiệm ngày 25 tháng 02 năm 2025),numeric__Tổng Giám đốc (bổ nhiệm ngày 18 tháng 3 năm 2025) > Tổng Giám đốc (bổ nhiệm từ ngày 25 tháng 02 năm 2025 đến ngày 18 tháng 3 năm 2025) > Phó Tổng Giám đốc (miễn nhiệm ngày 25 tháng 02 năm 2025) > Tổng Giám đốc (miễn nhiệm ngày 25 tháng 02 năm 2025)
Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Phó Tổng Giám đốc,
Ông Phan Ích Long,Ông Phan Ích Long,Ông Phan Ích Long,Phó Tổng Giám đốc,
