row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp/bù trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp/bù trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,42.639.743,-,156.975.733,199.615.476,42639743.0,,156975733.0,199615476.0
Thuế thu nhập doanh nghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,42.639.743,-,156.975.733,199.615.476,42639743.0,,156975733.0,199615476.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải nộp > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,2.208.892.657,11.149.988.303,10.320.389.024,3.038.491.936,2208892657.0,11149988303.0,10320389024.0,3038491936.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,10.157.818.319,-,10.157.818.319,-,10157818319.0,,10157818319.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.569.805.949,10.863.087.668,10.341.231.519,3.091.662.098,2569805949.0,10863087668.0,10341231519.0,3091662098.0
Các loại thuế khác,b. Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,1.157.992.206,1.157.992.206,-,,1157992206.0,1157992206.0,
,,,14.936.516.925,23.171.068.177,31.977.431.068,6.130.154.034,14936516925.0,23171068177.0,31977431068.0,6130154034.0
