row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Doanh thu cung cấp dịch vụ (Thuyết minh số 22),Doanh thu cung cấp dịch vụ (Thuyết minh số 22),Doanh thu cung cấp dịch vụ (Thuyết minh số 22),,102.903.068.685,88.961.131.800,,102903068685.0,88961131800.0
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Doanh thu phí quản lý dự án,46.650.900.000,31.470.612.949,,46650900000.0,31470612949.0
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Doanh thu phí quản lý dự án,29.016.600.000,37.913.205.397,,29016600000.0,37913205397.0
Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Doanh thu phí quản lý dự án,14.638.000.000,Chưa là công ty con,,14638000000.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Doanh thu phí quản lý dự án,11.340.700.000,18.161.151.839,,11340700000.0,18161151839.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Doanh thu cho thuê xe ô tô,777.777.776,866.161.615,,777777776.0,866161615.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Doanh thu cho thuê bất động sản,479.090.909,-,,479090909.0,
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Doanh thu cho thuê văn phòng,Không là bên liên quan,550.000.000,,,550000000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,8.609.230.053,8.570.364.748,,8609230053.0,8570364748.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Chi phí vận hành và chi phí bảo vệ,2.940.106.393,2.334.400.394,,2940106393.0,2334400394.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Chi phí quản trị hệ thống công nghệ thông tin và thuê máy chủ,1.663.680.000,1.884.755.998,,1663680000.0,1884755998.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,"Chi phí dịch vụ truyền thông, ấn phẩm",1.555.907.490,Không là bên liên quan,,1555907490.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí thi công hoàn thiện nội thất,1.130.114.739,-,,1130114739.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,"Chi phí dịch vụ suất ăn, voucher, văn phòng phẩm",1.147.265.807,1.370.638.184,,1147265807.0,1370638184.0
Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Chi phí lắp đặt thiết bị lưu trữ video,85.760.000,Chưa là bên liên quan,,85760000.0,
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Chi phí thuê văn phòng,64.636.364,64.636.364,,64636364.0,64636364.0
Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,"Chi phí dịch vụ khách sạn, vận chuyển",21.759.260,Chưa là bên liên quan,,21759260.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Chi phí thi công hoàn thiện dự án,-,2.703.206.535,,,2703206535.0
Công ty Cổ phần Đầu Tư Công Nghệ Unicloud,Công ty Cổ phần Đầu Tư Công Nghệ Unicloud,Công ty Cổ phần Đầu Tư Công Nghệ Unicloud,Chi phí dịch vụ theo dõi sức khỏe thương hiệu,-,212.727.273,,,212727273.0
Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,,933.597.500,2.780.410.105,,933597500.0,2780410105.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phí dịch vụ chi hộ,933.597.500,2.780.410.105,,933597500.0,2780410105.0
Doanh thu hoạt động tài chính (Thuyết minh số 25),Doanh thu hoạt động tài chính (Thuyết minh số 25),Doanh thu hoạt động tài chính (Thuyết minh số 25),,499.081.799.361,22.191.780.822,,499081799361.0,22191780822.0
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Cổ tức được chia,499.081.799.361,-,,499081799361.0,
Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,Lãi từ đặt cọc chuyển nhượng cổ phần,-,22.191.780.822,,,22191780822.0
Thu hồi cho vay,Thu hồi cho vay,Thu hồi cho vay,,-,5.000.000.000,,,5000000000.0
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Thu hồi cho vay,-,5.000.000.000,,,5000000000.0
