row_label_raw,row_label_full,col_0,Giá trị ghi sổ và số có khả năng trả nợ > 31/12/2017VND,Giá trị ghi sổ và số có khả năng trả nợ > 1/1/2017VND,numeric__Giá trị ghi sổ và số có khả năng trả nợ > 31/12/2017VND,numeric__Giá trị ghi sổ và số có khả năng trả nợ > 1/1/2017VND
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Công ty Cổ phần Tập đoàn Thế kỳ,Công ty mẹ > Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,7.459.160.582,-,7459160582.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế kỳ,Các bên liên quan khác > Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế kỳ,Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế kỳ,1.027.013.705,-,1027013705.0,
,,,8.486.174.287,-,8486174287.0,
