row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2017VND,2016VND,,
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Công ty Cổ phần Tập đoàn Thế kỷ,Công ty Cổ phần Tập đoàn Thế kỷ,Công ty Cổ phần Tập đoàn Thế kỷ,Công ty Cổ phần Tập đoàn Thế kỷ,Công ty Cổ phần Tập đoàn Thế kỷ,,
Doanh thu môi giới bắt động sản,Công ty Cổ phần Tập đoàn Thế kỷ > Doanh thu môi giới bắt động sản,Doanh thu môi giới bắt động sản,2.390.458.583,62.483.039.980,2390458583.0,62483039980.0
Doanh thu dịch vụ khác,Công ty Cổ phần Tập đoàn Thế kỷ > Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,1.052.860.414,,1052860414.0,
Chi phí thuê văn phòng,Công ty Cổ phần Tập đoàn Thế kỷ > Chi phí thuê văn phòng,Chi phí thuê văn phòng,13.716.670.680,8.670.641.089,13716670680.0,8670641089.0
Chi phí thuê xe,Công ty Cổ phần Tập đoàn Thế kỷ > Chi phí thuê xe,Chi phí thuê xe,98.181.816,-,98181816.0,
Góp vốn,Công ty Cổ phần Tập đoàn Thế kỷ > Góp vốn,Góp vốn,99.273.800.000,-,99273800000.0,
Trả cổ tức,Công ty Cổ phần Tập đoàn Thế kỷ > Trả cổ tức,Trả cổ tức,71.027.347.383,-,71027347383.0,
Chi phí khác,Công ty Cổ phần Tập đoàn Thế kỷ > Chi phí khác,Chi phí khác,1.235.693.045,1.000.000.000,1235693045.0,1000000000.0
Công ty liên quan,Công ty liên quan,Công ty liên quan,Công ty liên quan,Công ty liên quan,,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest,,
Doanh thu môi giới bắt động sản,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest > Doanh thu môi giới bắt động sản,Doanh thu môi giới bắt động sản,275.667.635.962,149.265.967.824,275667635962.0,149265967824.0
Doanh thu dịch vụ khác,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỷ - Ceninvest > Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,2.202.937.813,,2202937813.0,
"Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát","Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát","Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát","Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát","Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát",,
Tiền lương và thường,"Thành viên Ban Tổng Giám đốc, Hội đồng Quản trị và Ban Kiểm soát > Tiền lương và thường",Tiền lương và thường,2.802.550.972,2.885.252.325,2802550972.0,2885252325.0
