row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,130.000.000.000,-,87.086.521.293,-,217.086.521.293,130000000000.0,,87086521293.0,,217086521293.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,135.458.416.340,-,135.458.416.340,,,135458416340.0,,135458416340.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,12.899.194.890,(32.247.987.225),-,(19.348.792.335),,12899194890.0,-32247987225.0,,-19348792335.0
Tăng do mua Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,Tăng do mua Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,Tăng do mua Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,-,-,-,4.351.865.425,4.351.865.425,,,,4351865425.0,4351865425.0
Tăng do mua Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Tăng do mua Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Tăng do mua Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,-,-,-,3.264.751.437,3.264.751.437,,,,3264751437.0,3264751437.0
Giảm do phạt thanh tra thuế,Giảm do phạt thanh tra thuế,Giảm do phạt thanh tra thuế,-,-,(472.762.530),-,(472.762.530),,,-472762530.0,,-472762530.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,130.000.000.000,12.899.194.890,189.824.187.878,7.616.616.862,340.339.999.630,130000000000.0,12899194890.0,189824187878.0,7616616862.0,340339999630.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,81.000.000.000,-,-,-,81.000.000.000,81000000000.0,,,,81000000000.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 22),Trả cổ tức bằng cổ phiếu (Thuyết minh 22),Trả cổ tức bằng cổ phiếu (Thuyết minh 22),39.000.000.000,-,(39.000.000.000),-,-,39000000000.0,,-39000000000.0,,
Trả cổ tức bằng tiền (Thuyết minh 22),Trả cổ tức bằng tiền (Thuyết minh 22),Trả cổ tức bằng tiền (Thuyết minh 22),-,-,(100.517.702.106),-,(100.517.702.106),,,-100517702106.0,,-100517702106.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,246.199.097.178,7.062.288.053,253.261.385.231,,,246199097178.0,7062288053.0,253261385231.0
Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,-,-,-,4.256.041.418,4.256.041.418,,,,4256041418.0,4256041418.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,250.000.000.000,12.899.194.890,296.505.582.950,18.934.946.333,578.339.724.173,250000000000.0,12899194890.0,296505582950.0,18934946333.0,578339724173.0
