row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,11.006.233.424,1.841.524.746,12.847.758.170,,11006233424.0,1841524746.0,12847758170.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,35.900.000,7.717.554.545,581.913.445,8.335.367.990,35900000.0,7717554545.0,581913445.0,8335367990.0
Tăng do mua Cen Sài Gòn,Nguyên giá > Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,-,908.181.818,-,908.181.818,,908181818.0,,908181818.0
Thanh lý tài sản cố định,Nguyên giá > Thanh lý tài sản cố định,Thanh lý tài sản cố định,-,(921.183.333),-,(921.183.333),,-921183333.0,,-921183333.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,35.900.000,18.710.786.454,2.423.438.191,21.170.124.645,35900000.0,18710786454.0,2423438191.0,21170124645.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,3.380.922.677,1.229.933.656,4.610.856.333,,3380922677.0,1229933656.0,4610856333.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.709.317,1.869.255.925,282.854.554,2.163.819.796,11709317.0,1869255925.0,282854554.0,2163819796.0
Tăng do mua Cen Sài Gòn,Giá trị hao mòn lũy kế > Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,-,46.792.521,-,46.792.521,,46792521.0,,46792521.0
Thanh lý tài sản cố định,Giá trị hao mòn lũy kế > Thanh lý tài sản cố định,Thanh lý tài sản cố định,-,(744.689.804),-,(744.689.804),,-744689804.0,,-744689804.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.709.317,4.552.281.319,1.512.788.210,6.076.778.846,11709317.0,4552281319.0,1512788210.0,6076778846.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,7.625.310.747,611.591.090,8.236.901.837,,7625310747.0,611591090.0,8236901837.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,24.190.683,14.158.505.135,910.649.981,15.093.345.799,24190683.0,14158505135.0,910649981.0,15093345799.0
