row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,Bản quyền phần mềm VND,Khác VND,Tổng cộng VND,numeric__Phần mềm máy vi tính VND,numeric__Bản quyền phần mềm VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,242.800.000,637.761.069,-,880.561.069,242800000.0,637761069.0,,880561069.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.883.000.000,-,342.272.736,3.225.272.736,2883000000.0,,342272736.0,3225272736.0
Tăng do mua Cen,Tăng do mua Cen,Tăng do mua Cen,,,,,,,,
Sài Gòn,Tăng do mua Cen > Sài Gòn,Sài Gòn,56.620.000,-,-,56.620.000,56620000.0,,,56620000.0
Số dư cuối năm,Tăng do mua Cen > Số dư cuối năm,Số dư cuối năm,3.182.420.000,637.761.069,342.272.736,4.162.453.805,3182420000.0,637761069.0,342272736.0,4162453805.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,85.708.327,153.459.673,-,239.168.000,85708327.0,153459673.0,,239168000.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,497.971.085,127.552.224,42.958.214,668.481.523,497971085.0,127552224.0,42958214.0,668481523.0
Tăng do mua Cen,Tăng do mua Cen,Tăng do mua Cen,,,,,,,,
Sài Gòn,Tăng do mua Cen > Sài Gòn,Sài Gòn,12.886.633,-,-,12.886.633,12886633.0,,,12886633.0
Số dư cuối năm,Tăng do mua Cen > Số dư cuối năm,Số dư cuối năm,596.566.045,281.011.897,42.958.214,920.536.156,596566045.0,281011897.0,42958214.0,920536156.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,157.091.673,484.301.396,-,641.393.069,157091673.0,484301396.0,,641393069.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.585.853.955,356.749.172,299.314.522,3.241.917.649,2585853955.0,356749172.0,299314522.0,3241917649.0
