row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày mua VND,numeric__Giá trị ghi sổ tại ngày mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,22.603.339.114,22603339114.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,11.906.626.890,11906626890.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,140.750.000,140750000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,3.987.315.758,3987315758.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,58.912.596,58912596.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,370.889.880,370889880.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,861.389.297,861389297.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,43.733.367,43733367.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,305.809.843,305809843.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(3.224.473.980),-3224473980.0
Thuế và các khoản phải nộp nhà nước,Thuế và các khoản phải nộp nhà nước,Thuế và các khoản phải nộp nhà nước,(4.400.129.541),-4400129541.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(4.134.055.298),-4134055298.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,(1.484.270.629),-1484270629.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(205.630.205),-205630205.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,(5.550.000.000),-5550000000.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,21.280.207.092,21280207092.0
Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản và nợ phải trả thuần của công ty con tại ngày mua,Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản và nợ phải trả thuần của công ty con tại ngày mua,Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản và nợ phải trả thuần của công ty con tại ngày mua,17.024.165.674,17024165674.0
Lãi từ giao dịch mua rè phát sinh từ việc mua lại,Lãi từ giao dịch mua rè phát sinh từ việc mua lại,Lãi từ giao dịch mua rè phát sinh từ việc mua lại,(1.024.165.674),-1024165674.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,(16.000.000.000),-16000000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,22.603.339.114,22603339114.0
Khoản tiền thu được thuần,Khoản tiền thu được thuần,Khoản tiền thu được thuần,6.603.339.114,6603339114.0
