row_label_raw,row_label_full,col_0,Môi giói bát động sản31/12/2017VND,Dịch vụ khác31/12/2017VND,Loại trừ31/12/2017VND,Hợp nhất31/12/2017VND,numeric__Môi giói bát động sản31/12/2017VND,numeric__Dịch vụ khác31/12/2017VND,numeric__Loại trừ31/12/2017VND,numeric__Hợp nhất31/12/2017VND
Tài sản của bộ phậnKhoản đầu tư vào công ty con,Tài sản của bộ phậnKhoản đầu tư vào công ty con,Tài sản của bộ phậnKhoản đầu tư vào công ty con,1.121.594.375.17740.000.000.000,44.632.183.783-,(112.028.927.560)(40.000.000.000),1.054.197.631.400-,1.1215943751774e+23,,,
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.161.594.375.177,44.632.183.783,(152.028.927.560),1.054.197.631.400,1161594375177.0,44632183783.0,-152028927560.0,1054197631400.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(563.469.433.886),(24.234.089.572),111.845.616.231,(475.857.907.227),-563469433886.0,-24234089572.0,111845616231.0,-475857907227.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,(563.469.433.886),(24.234.089.572),111.845.616.231,(475.857.907.227),-563469433886.0,-24234089572.0,111845616231.0,-475857907227.0
,,,2017VND,2017VND,2017VND,2017VND,,,,
Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,Chỉ tiêu vốnKhấu hao tài sản cố định hữu hìnhKhấu hao tài sản cố định vô hình,11.514.695.2632.128.116.959652.908.489,78.400.00035.702.83723.686.668,(32.454.537)-(8.113.634),11.560.640.7262.163.819.796668.481.523,1.151469526321281e+29,7.840000035702837e+23,,1.1560640726216383e+29
