row_label_raw,row_label_full,col_0,Môi giói bát động sản2017VND,Dịch vụ khác2017VND,Loại trừ2017VND,Hợp nhất2017VND,numeric__Môi giói bát động sản2017VND,numeric__Dịch vụ khác2017VND,numeric__Loại trừ2017VND,numeric__Hợp nhất2017VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.087.736.573.480,27.724.067.759,-,1.115.460.641.239,1087736573480.0,27724067759.0,,1115460641239.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,61.917.612.036,(61.917.612.036),-,,61917612036.0,-61917612036.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.087.736.573.480,89.641.679.795,(61.917.612.036),1.115.460.641.239,1087736573480.0,89641679795.0,-61917612036.0,1115460641239.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,481.361.597.512,24.216.221.306,(60.762.475.664),444.815.343.154,481361597512.0,24216221306.0,-60762475664.0,444815343154.0
Doanh thu tài chính không phân bổChi phí không phân bổ,Doanh thu tài chính không phân bổChi phí không phân bổ,Doanh thu tài chính không phân bổChi phí không phân bổ,,,,406.228.491,,,,406228491.0
Doanh thu tài chính không phân bổChi phí không phân bổ,Doanh thu tài chính không phân bổChi phí không phân bổ,Doanh thu tài chính không phân bổChi phí không phân bổ,,,,(128.475.316.471),,,,-128475316471.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,316.746.255.174,,,,316746255174.0
Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,,,,1.170.397.584(1.920.930.829)(62.734.336.698),,,,
Lợi nhuận thuần sau thuế,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,253.261.385.231,,,,253261385231.0
