row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5
,,,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,Đơn vi tính: VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2018,NGUYÊN GIÁ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,194.642.726.639,316.661.037,17.682.658.182,1.561.232.433,214.203.278.291,194642726639.0,316661037.0,17682658182.0,1561232433.0,214203278291.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,46.963.722.105,-,856.716.364,1.252.990.895,49.073.429.364,46963722105.0,,856716364.0,1252990895.0,49073429364.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,,,856.716.364,1.252.990.895,2.109.707.259,,,856716364.0,1252990895.0,2109707259.0
Xây dựng cơ bán dở danghoàn thành,NGUYÊN GIÁ > Xây dựng cơ bán dở danghoàn thành,Xây dựng cơ bán dở danghoàn thành,46.963.722.105,,,,46.963.722.105,46963722105.0,,,,46963722105.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,43.564.654.135,31.742.856,3.606.400.000,77.136.373,47.279.933.364,43564654135.0,31742856.0,3606400000.0,77136373.0,47279933364.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,31.742.856,3.606.400.000,77.136.373,3.715.279.229,,31742856.0,3606400000.0,77136373.0,3715279229.0
Chuyển đổi mục đích sử dụng (*),NGUYÊN GIÁ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),43.564.654.135,,,,43.564.654.135,43564654135.0,,,,43564654135.0
Số dư tại 31/12/2018,NGUYÊN GIÁ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,198.041.794.609,284.918.181,14.932.974.546,2.737.086.955,215.996.774.291,198041794609.0,284918181.0,14932974546.0,2737086955.0,215996774291.0
