row_label_raw,row_label_full,Dự án Phú Hải (1),51.170.321.029,-,-_1,-_2,numeric__51.170.321.029,numeric__-,numeric__-_1,numeric__-_2
Dự án Tân Tây Đô,Dự án Tân Tây Đô,Dự án Tân Tây Đô,-,-,23.303.623.700,-,,,23303623700.0,
Dự án vận Phúc,Dự án vận Phúc,Dự án vận Phúc,-,-,44.459.530.378,-,,,44459530378.0,
Dự án Phú Lương (2),Dự án Phú Lương (2),Dự án Phú Lương (2),798.598.617.736,-,272.048.749.464,-,798598617736.0,,272048749464.0,
Dự án Trâu Quý (3),Dự án Trâu Quý (3),Dự án Trâu Quý (3),131.074.561.555,-,258.104.927.836,-,131074561555.0,,258104927836.0,
Dự án khác,Dự án khác,Dự án khác,39.954.174.467,-,39.189.104.223,-,39954174467.0,,39189104223.0,
