row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIÊP THEO),THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIÊP THEO)_1,Mẫu B 09-DN,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIÊP THEO)_1,numeric__Mẫu B 09-DN
5.11,5.11,5.11,"Đầu tư vào công ty con, công ty liên kết (Tiếp theo)",,,
(*),(*),(*),Công ty chưa xác định giá trị hợp lý của các công cụ tài chính này để thuyết minh trong Báo cáo tài chính riêng vì không có giá niêm yết trên thị trường cho các công cụ tài chính này và Chuẩn mực Kế toán Việt Nam và Chế độ kế toán doanh nghiệp Việt Nam hiện nay không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các công cụ tài chính này có thể khác với giá trị ghi sổ.,,,
(1),(1),(1),Công ty TNHH một thành viên Địa Óc Châu Sơn trong năm 2018 thực hiện tăng vốn điều lệ từ 400 tỷ đồng lên điều lệ 720 tỷ đồng. Trong năm Công ty Cổ phần Đầu tư Hải Phát thực hiện góp vốn thêm 309.298.893.381 đồng.,,,
(2),(2),(2),"Theo giấy đăng ký kinh doanh Công ty Cổ phần Đầu tư Đại Đông Á vốn điều lệ 160 tỷ đồng (1.600.000 cổ phần), Công ty Cổ phần Đầu tư Hải Phát năm giữ 35% cổ phần tương ứng 56 tỷ đồng. Trong năm 2018 Công ty đã góp bổ sung thêm 4.150.000.000 đồng theo giấy đăng ký kinh doanh.",,,
(3),(3),(3),"Vốn điều lệ theo Giấy đăng kính doanh của Công ty TNHH Phát triển Địa Óc Hải Phong là 300 tỷ đồng. Tại thời điểm 01/01/2018 tỷ lệ sở hữu vốn của Công ty Cổ phần Đầu tư Hải Phát là 42,99%. Trong năm 2018 Công ty bán 32,99% vốn góp cho Công ty Cổ phần Đầu tư Bất động sản Hải Phát, do đó tại thời điểm 31/12/2018 tỷ lệ vốn góp của Công ty tại Công ty TNHH Phát triển Địa ốc Hải Phong là 10%.",,,
